dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Da Gold Mile,PERRY BARR,Race 2,11:21,5,0.8,0.2,0.4,0.2
Kulmore Kamikaze,SWINDON,Race 2,11:28,3,0.8,0.1,0.2,0.5
Baby Junior,SWINDON,Race 2,11:28,4,0.8,0.3,0.3,0.2
Cuile Line Kid,PERRY BARR,Race 3,11:36,2,1.0,0.1,0.6,0.3
Clockwork Girl,HENLOW,Race 4,11:39,2,0.9,0.2,0.4,0.3
Cloncunny Mike,HENLOW,Race 4,11:39,1,0.8,0.4,0.2,0.2
Ashway Bubbles,SWINDON,Race 3,11:43,2,1.0,0.3,0.6,0.1
Nippys Spirit,HENLOW,Race 5,11:54,5,0.8,0.1,0.3,0.4
Burkos Blue,PERRY BARR,Race 6,12:21,2,0.8,0.3,0.2,0.3
Liosgarbh Salah,HENLOW,Race 8,12:39,1,0.8,0.1,0.4,0.3
Chance Holly,CENTRAL PARK,Race 9,12:46,1,1.0,0.1,0.4,0.5
Flickering Flame,SWINDON,Race 8,12:58,2,0.8,0.2,0.2,0.4
Darbys Kitty,CENTRAL PARK,Race 10,13:02,4,0.8,0.3,0.0,0.5
Churchtown Lad,PERRY BARR,Race 9,13:06,5,0.8,0.1,0.3,0.4
Sunset Places,SWINDON,Race 9,13:13,2,0.8,0.3,0.2,0.3
Sparkling Darren,CENTRAL PARK,Race 11,13:17,2,0.9,0.3,0.4,0.2
Crevagh Fellow,SWINDON,Race 10,13:28,4,0.9,0.2,0.4,0.3
Sandy Willow,PERRY BARR,Race 11,13:36,6,0.8,0.3,0.2,0.3
Final Salt,SHEFFIELD,Race 1,14:04,2,0.8,0.3,0.1,0.4
Jaguar Ellie,MONMORE,Race 2,14:07,3,0.8,0.3,0.2,0.3
Storys Buick,ROMFORD,Race 2,14:12,1,0.9,0.3,0.4,0.2
Corrin Shane,SHEFFIELD,Race 2,14:19,1,0.8,0.4,0.2,0.2
Ask The Audience,SHEFFIELD,Race 2,14:19,5,0.8,0.4,0.4,0.0
Revenant,MONMORE,Race 3,14:23,5,0.8,0.1,0.3,0.4
Waikiki Glass,ROMFORD,Race 3,14:32,5,0.8,0.2,0.2,0.4
Risk It Over,ROMFORD,Race 3,14:32,4,0.8,0.2,0.3,0.3
Onyergofreddie,MONMORE,Race 4,14:42,4,0.8,0.1,0.3,0.4
Riu Chuck,MONMORE,Race 5,15:02,1,0.8,0.1,0.3,0.4
Crinkill Captain,SHEFFIELD,Race 5,15:09,4,0.9,0.4,0.3,0.2
Burnley Storm,SHEFFIELD,Race 5,15:09,2,0.8,0.4,0.1,0.3
Heavens Willow,YARMOUTH,Race 1,15:14,6,0.8,0.1,0.4,0.3
Moorstown Pat,MONMORE,Race 7,15:38,1,0.8,0.1,0.4,0.3
Shady Ella,SHEFFIELD,Race 7,15:44,3,0.9,0.3,0.3,0.3
Coney George,SHEFFIELD,Race 7,15:44,1,0.8,0.3,0.3,0.2
Swift Cope,YARMOUTH,Race 4,16:14,5,0.8,0.1,0.3,0.4
