dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Anmima Biddy,HARLOW,Race 5,09:18,2,0.8,0.3,0.2,0.3
Lubagh Silver,HARLOW,Race 6,09:34,4,0.8,0.1,0.0,0.7
Storys Jap,ROMFORD,Race 1,10:12,4,0.9,0.2,0.2,0.5
Ruffian Scar,CRAYFORD,Race 1,10:17,4,0.9,0.4,0.1,0.4
Dods Tiger,HARLOW,Race 9,10:23,6,0.8,0.1,0.3,0.4
Galloping Luna,CRAYFORD,Ladbrokes.com Winter Guys & Dolls Trophy - Dolls Heat,10:37,5,0.8,0.4,0.2,0.2
Manassas,ROMFORD,Race 4,11:01,5,0.8,0.2,0.3,0.3
Horacedatortoise,ROMFORD,Race 4,11:01,2,0.8,0.2,0.5,0.1
Theres Carmel,PERRY BARR,Race 1,11:06,1,0.8,0.2,0.2,0.4
Olive Oil Rose,CRAYFORD,Ladbrokes.com New Year Maiden Stakes,11:09,2,0.8,0.3,0.3,0.2
Earls Magical,ROMFORD,Race 5,11:16,2,0.8,0.4,0.0,0.4
Alaskan Dawn,CRAYFORD,Ladbrokes.com New Year Stayers Trophy - Heat 2,11:24,2,0.8,0.4,0.3,0.1
Matties Tipper,PERRY BARR,Race 3,11:36,5,0.8,0.2,0.5,0.1
Darbys Bullet,CRAYFORD,Race 6,11:39,2,0.8,0.2,0.5,0.1
Foxrock Brae,CRAYFORD,Race 6,11:39,1,0.8,0.3,0.1,0.4
Mendthebend,ROMFORD,Race 7,11:46,2,0.8,0.3,0.1,0.4
To Tone Kat,ROMFORD,Race 7,11:46,3,0.8,0.3,0.2,0.3
Selra Jet,PERRY BARR,Race 4,11:51,1,0.9,0.1,0.6,0.2
Auchen Haggis,CRAYFORD,Ladbrokes.com Winter Guys & Dolls Trophy - Guys Heat,11:54,3,0.8,0.1,0.6,0.1
Boom Daddy,ROMFORD,Race 8,12:01,4,0.8,0.2,0.4,0.2
Lakeview Night,ROMFORD,Race 8,12:01,2,0.8,0.2,0.5,0.1
Porthall Pat,PERRY BARR,Race 5,12:06,2,0.8,0.5,0.0,0.3
Droopys Senorita,CRAYFORD,Ladbrokes.com New Year Maiden Stayers Trophy - Heat 1,12:09,6,0.8,0.2,0.4,0.2
Kilshannig Marie,CRAYFORD,Ladbrokes.com New Year Maiden Stayers Trophy - Heat 1,12:09,1,0.8,0.4,0.2,0.2
Panda Oreo,ROMFORD,Race 9,12:16,1,0.8,0.3,0.3,0.2
Musnt Touch It,ROMFORD,Race 9,12:16,3,0.8,0.3,0.3,0.2
Classic Salah,ROMFORD,Race 9,12:16,5,0.9,0.1,0.4,0.4
Night Dream,CRAYFORD,Race 9,12:24,4,0.8,0.4,0.4,0.0
Skywalker Cliff,CRAYFORD,Race 9,12:24,2,0.9,0.2,0.3,0.4
Trapstyle Brae,ROMFORD,Race 10,12:31,2,0.8,0.3,0.4,0.1
Brookside Sting,ROMFORD,Race 10,12:31,6,1.0,0.4,0.2,0.4
Distant Bolt,CRAYFORD,Ladbrokes.com New Year Maiden Stayers Trophy - Heat 2,12:39,5,0.9,0.4,0.1,0.4
Burgess Sonia,ROMFORD,Race 11,12:46,1,0.8,0.2,0.3,0.3
Lakeview Fawn,PERRY BARR,Race 8,12:51,1,0.9,0.3,0.3,0.3
Miss Nightingale,ROMFORD,Race 12,13:02,3,0.8,0.4,0.3,0.1
Letter Pat,CRAYFORD,Ladbrokes.com New Year Maiden Stakes,13:24,4,0.9,0.4,0.3,0.2
Clearway Vicky,DONCASTER,Race 1,13:49,5,0.8,0.0,0.7,0.1
Scarlet Beauty,DONCASTER,Race 2,14:07,2,0.8,0.3,0.2,0.3
Ring Of Fire,NEWCASTLE,Race 2,14:19,3,0.8,0.1,0.2,0.5
Head Iton Lennie,DONCASTER,Race 3,14:23,2,0.8,0.2,0.5,0.1
Darver Elayne,NEWCASTLE,Race 3,14:36,6,0.9,0.2,0.4,0.3
Crying Old Kevin,DONCASTER,Race 4,14:42,6,0.9,0.2,0.3,0.4
Buy The Dip,HENLOW,Race 4,14:52,1,0.8,0.1,0.5,0.2
Brennans Buick,DONCASTER,Race 5,15:02,5,0.8,0.2,0.4,0.2
Ballymac Johnsie,DONCASTER,Race 5,15:02,6,0.8,0.5,0.0,0.3
Mitchs Maverick,NEWCASTLE,Race 5,15:09,5,1.0,0.4,0.5,0.1
Gartcloss Geordi,NEWCASTLE,Race 5,15:09,6,0.9,0.5,0.2,0.2
Savana Antonio,HENLOW,Race 8,16:08,2,0.9,0.5,0.2,0.2
Santro Bella,DONCASTER,Race 9,16:18,1,0.9,0.1,0.5,0.3
Westforth Daisy,NEWCASTLE,Race 9,16:23,3,0.8,0.3,0.3,0.2
A Bit Of Beauty,NEWCASTLE,Race 10,16:43,1,0.8,0.3,0.4,0.1
Pyewacket,HENLOW,Race 10,16:48,3,0.8,0.1,0.4,0.3
Mermaid Waters,NEWCASTLE,Race 12,17:22,2,0.8,0.1,0.3,0.4
Blackrose Bjorn,HENLOW,Race 13,17:44,3,0.8,0.1,0.5,0.2
Luttons Leyla,DONCASTER,Race 14,17:54,5,0.8,0.5,0.1,0.2
Old Fort Code,ROMFORD,Race 1,18:22,1,0.8,0.2,0.4,0.2
Meteoric Star,MONMORE,Race 2,18:33,4,0.8,0.1,0.4,0.3
Noduff Bellagio,MONMORE,Race 3,18:48,6,0.8,0.3,0.2,0.3
Perfecto Vis,CRAYFORD,Race 2,19:01,6,0.8,0.3,0.1,0.4
Tullymurry Amber,SHEFFIELD,Race 4,19:09,5,0.9,0.3,0.3,0.3
Sycamore Lady,SHEFFIELD,Race 4,19:09,4,1.0,0.2,0.3,0.5
Strictly Jester,YARMOUTH,Race 2,19:16,6,0.8,0.3,0.3,0.2
Greencraft Jet,YARMOUTH,Race 2,19:16,5,1.0,0.3,0.4,0.3
Share The Bloom,CRAYFORD,Race 3,19:17,2,0.8,0.1,0.4,0.3
Blakes Seven,ROMFORD,Race 5,19:32,6,1.0,0.2,0.3,0.5
Ballymac Joe,CRAYFORD,Race 4,19:33,6,1.0,0.3,0.5,0.2
Moors Ice,YARMOUTH,Race 3,19:34,4,0.8,0.2,0.4,0.2
Miss Unique,SHEFFIELD,Race 6,19:41,4,0.9,0.1,0.6,0.2
Salems Soulmate,YARMOUTH,Race 4,19:51,1,0.9,0.2,0.3,0.4
Canya Treetop,SHEFFIELD,Race 7,19:58,4,0.8,0.2,0.4,0.2
Mineola Queen,MONMORE,Race 7,20:03,2,0.8,0.2,0.5,0.1
Sweet Black,SHEFFIELD,Race 8,20:12,6,0.9,0.2,0.5,0.2
Old Fort Katie,HOVE,Race 8,20:17,3,0.8,0.2,0.3,0.3
Saving Hay,YARMOUTH,Race 7,20:36,1,0.9,0.1,0.4,0.4
Gotoon Bella,YARMOUTH,Race 7,20:36,4,0.8,0.3,0.3,0.2
Wicky Mike,CRAYFORD,Race 8,20:37,5,0.8,0.2,0.4,0.2
Domino Gem,HOVE,Race 9,20:38,5,0.8,0.2,0.2,0.4
Abigails Sugar,MONMORE,Race 9,20:43,5,0.9,0.3,0.4,0.2
Sandside Galtee,HOVE,Race 10,20:54,6,1.0,0.4,0.4,0.2
Difficult Day,SHEFFIELD,Race 11,21:01,2,0.8,0.3,0.3,0.2
Whats Up Jonjo,SHEFFIELD,Race 11,21:01,6,0.8,0.2,0.2,0.4
Phoenix Cavani,SHEFFIELD,Race 12,21:16,1,0.8,0.4,0.4,0.0
Bog Tree,SHEFFIELD,Race 12,21:16,5,0.8,0.3,0.4,0.1
Final Hannah,MONMORE,Race 11,21:18,4,0.9,0.3,0.4,0.2
Oscars Rose,CRAYFORD,Race 11,21:24,4,0.8,0.3,0.2,0.3
Too Many Men,CRAYFORD,Race 11,21:24,1,0.9,0.6,0.2,0.1
In The Present,CRAYFORD,Race 11,21:24,5,0.8,0.2,0.5,0.1
Leathems Luigi,YARMOUTH,Race 10,21:26,6,0.8,0.2,0.5,0.1
Carrowkeal Syd,SHEFFIELD,Race 13,21:31,2,0.8,0.3,0.4,0.1
Tullymurry Olive,SHEFFIELD,Race 13,21:31,4,0.8,0.5,0.2,0.1
Burgess Dargle,HOVE,Race 13,21:43,2,0.8,0.0,0.4,0.4
