dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Total Lockdown,HARLOW,Race 5,09:18,2,0.8,0.2,0.2,0.4
Mayses Ollie,ROMFORD,Race 1,10:12,4,0.8,0.3,0.4,0.1
Storys Buick,ROMFORD,Race 2,10:31,1,0.8,0.3,0.4,0.1
Loughgur Sam,HARLOW,Race 10,10:41,1,0.8,0.3,0.2,0.3
Old Fort Code,ROMFORD,Race 4,11:01,1,0.9,0.2,0.5,0.2
Puckane Daddy,CRAYFORD,Ladbrokes.com Christmas Stayers Hurdle,11:09,2,0.8,0.2,0.4,0.2
Aero Roddick,ROMFORD,Race 6,11:31,1,0.8,0.3,0.1,0.4
Tullovin Charlie,CRAYFORD,Race 6,11:39,1,0.8,0.3,0.1,0.4
Colarhouse Foxy,CRAYFORD,Race 7,11:54,4,0.8,0.2,0.3,0.3
Ucannotbeserious,PERRY BARR,Race 5,12:06,6,0.8,0.1,0.1,0.6
Silverspoon Min,PERRY BARR,Race 5,12:06,3,0.9,0.1,0.5,0.3
Spitfire Ranger,PERRY BARR,Race 6,12:21,1,0.8,0.2,0.5,0.1
Slippy Molly,ROMFORD,Race 10,12:31,2,0.8,0.3,0.3,0.2
Auchen Haggis,CRAYFORD,Race 10,12:39,1,0.8,0.3,0.4,0.1
Ascot Blake,CRAYFORD,Race 10,12:39,3,0.9,0.4,0.4,0.1
Kilshannig Marie,CRAYFORD,Race 11,12:54,1,0.8,0.2,0.3,0.3
Trapstyle Brae,ROMFORD,Race 12,13:02,1,0.8,0.2,0.5,0.1
Paradise Ally,PERRY BARR,Race 9,13:06,1,0.8,0.1,0.4,0.3
Franco Dotty,CRAYFORD,Race 12,13:09,6,0.8,0.3,0.3,0.2
Selra Jet,PERRY BARR,Race 10,13:21,1,0.8,0.1,0.5,0.2
Theres Carmel,PERRY BARR,Race 10,13:21,2,0.9,0.1,0.3,0.5
Darbys Bullet,CRAYFORD,Ladbrokes.com Christmas Hurdle,13:24,4,0.8,0.3,0.4,0.1
Foxrock Brae,CRAYFORD,Ladbrokes.com Christmas Hurdle,13:24,3,0.8,0.2,0.2,0.4
Hoskys Legacy,CRAYFORD,Race 14,13:39,5,0.9,0.2,0.5,0.2
Ryecroft Cleo,DONCASTER,Race 1,13:49,2,0.8,0.2,0.4,0.2
Headford Holly,PERRY BARR,Race 12,13:51,2,0.9,0.4,0.2,0.3
