dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Dods Tiger,HARLOW,Race 5,09:18,6,0.8,0.1,0.4,0.3
Anmima Biddy,HARLOW,Race 7,09:52,1,0.8,0.3,0.2,0.3
Xmas Jet,ROMFORD,Race 1,10:12,3,0.8,0.2,0.5,0.1
Castlehill Ivy,CRAYFORD,Race 2,10:37,2,0.8,0.1,0.4,0.3
Zenas Rosie,CRAYFORD,Ladbrokes.com Winter Maiden Stakes,10:53,6,0.8,0.1,0.3,0.4
Ramat One,ROMFORD,Race 4,11:01,5,0.8,0.2,0.4,0.2
Matties Tipper,PERRY BARR,Race 1,11:06,6,0.9,0.2,0.6,0.1
Bubbly Angel,CRAYFORD,Ladbrokes.com New Year Stayers Trophy - Final,11:09,2,0.8,0.1,0.1,0.6
Punk Rock Mutley,CRAYFORD,Ladbrokes.com New Year Stayers Trophy - Final,11:09,4,0.8,0.1,0.4,0.3
Classic Salah,ROMFORD,Race 5,11:16,5,0.8,0.1,0.4,0.3
Trap In Line,CRAYFORD,Race 6,11:39,4,0.8,0.3,0.4,0.1
Ardera Tank,ROMFORD,RGOA A5/A6 Kennel Sweepstakes - Heat 2,11:46,2,0.8,0.1,0.4,0.3
Storys Jap,ROMFORD,RGOA A5/A6 Kennel Sweepstakes - Heat 2,11:46,4,0.9,0.3,0.1,0.5
Galloping Luna,CRAYFORD,Ladbrokes.com Winter Guys & Dolls Trophy - Final,11:54,4,0.9,0.4,0.2,0.3
Knockard Rory,CRAYFORD,Ladbrokes.com Winter Guys & Dolls Trophy - Final,11:54,5,0.9,0.5,0.0,0.4
Levante Queen,PERRY BARR,Race 5,12:06,1,0.8,0.2,0.2,0.4
Foxrock Brae,CRAYFORD,Ladbrokes.com Winter Hurdle,12:09,1,0.8,0.3,0.2,0.3
Wilson,CRAYFORD,Ladbrokes.com Winter Hurdle,12:09,5,0.9,0.4,0.4,0.1
Slaneyside Nally,ROMFORD,RGOA A5/A6 Kennel Sweepstakes - Heat 4,12:16,4,0.8,0.2,0.2,0.4
