dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Kilcash Pa,HENLOW,Race 3,08:43,3,0.8,0.2,0.3,0.3
Indigo Diamond,HENLOW,Race 7,09:52,6,0.8,0.0,0.5,0.3
Shenzi,HENLOW,Race 8,10:07,6,0.8,0.4,0.2,0.2
Corrig Iris,ROMFORD,Race 1,10:53,5,0.9,0.1,0.3,0.5
Hillview Heidi,KINSLEY,Race 1,11:13,1,0.9,0.3,0.4,0.2
Dundrum Way,KINSLEY,Race 2,11:28,2,0.9,0.2,0.3,0.4
Horacedatortoise,ROMFORD,Race 4,11:39,1,0.8,0.3,0.4,0.1
Down Load,CENTRAL PARK,Race 5,11:46,5,0.9,0.3,0.4,0.2
Took A Chance,ROMFORD,Race 5,11:54,1,0.8,0.3,0.4,0.1
Highview Planet,KINSLEY,Race 4,11:58,1,1.0,0.3,0.3,0.4
Sparkling Darren,CENTRAL PARK,Race 7,12:16,3,0.8,0.2,0.4,0.2
Selra Jet,PERRY BARR,Race 6,12:21,1,0.8,0.1,0.5,0.2
Classic Salah,ROMFORD,Race 7,12:24,5,0.9,0.2,0.4,0.3
Security Legend,KINSLEY,Race 6,12:28,2,0.9,0.2,0.3,0.4
Ay Up Brook,KINSLEY,Race 7,12:43,2,0.8,0.3,0.4,0.1
Durrow Charmer,KINSLEY,Race 7,12:43,6,0.8,0.3,0.3,0.2
Bellagors Magic,CENTRAL PARK,Race 9,12:46,1,0.9,0.4,0.3,0.2
Paradise Ally,PERRY BARR,Race 8,12:51,1,0.9,0.1,0.5,0.3
Great Buzz,KINSLEY,Race 8,12:58,3,0.8,0.4,0.3,0.1
Sellout Craytur,CENTRAL PARK,Race 10,13:02,1,0.8,0.4,0.3,0.1
Da Gold Mile,PERRY BARR,Race 9,13:06,5,0.9,0.2,0.4,0.3
Tobergal Rock,KINSLEY,Race 9,13:13,4,0.8,0.1,0.5,0.2
Followthe Bubba,PERRY BARR,Race 10,13:21,3,0.8,0.2,0.1,0.5
Kellsboro Ozzy,ROMFORD,Race 11,13:24,2,0.8,0.3,0.4,0.1
Droopys Lena,ROMFORD,Race 11,13:24,1,0.8,0.3,0.3,0.2
A Hardy Act,KINSLEY,Race 10,13:28,6,0.8,0.1,0.1,0.6
Dino Rex,KINSLEY,Race 10,13:28,4,0.9,0.3,0.2,0.4
Riverdale Pepe,CENTRAL PARK,Race 12,13:33,6,1.0,0.4,0.3,0.3
Annaghdown Vic,CENTRAL PARK,Race 12,13:33,1,0.8,0.4,0.3,0.1
Porthall Ella,PERRY BARR,Race 11,13:36,1,0.8,0.1,0.0,0.7
Oldinn Lucky,PERRY BARR,Race 11,13:36,5,0.8,0.2,0.2,0.4
Old Fort Code,ROMFORD,Race 12,13:39,2,0.9,0.2,0.5,0.2
Bevs Daisy Mae,ROMFORD,Race 12,13:39,4,0.8,0.2,0.1,0.5
Mandeville Koby,HOVE,Race 2,14:12,1,0.8,0.3,0.5,0.0
Find Out,SUNDERLAND,Race 2,14:19,4,1.0,0.4,0.4,0.2
Roses Kate,HOVE,Race 3,14:32,2,0.9,0.2,0.5,0.2
Maglass Matt,HOVE,Race 4,14:52,2,0.8,0.3,0.2,0.3
Spitting Fire,SUNDERLAND,Race 4,14:54,2,0.9,0.1,0.4,0.4
Sampson Rocket,HOVE,Race 5,15:11,2,0.9,0.1,0.5,0.3
Final Figure,MONMORE,Race 7,15:38,1,0.8,0.2,0.4,0.2
Autumn Typhoon,SUNDERLAND,Race 7,15:44,4,0.9,0.2,0.4,0.3
Stellas Bubba,MONMORE,Race 8,15:58,1,0.8,0.3,0.3,0.2
Mucho Macho Judy,SUNDERLAND,Race 8,16:04,2,0.8,0.2,0.3,0.3
Canya Dance,HOVE,Race 8,16:08,1,0.8,0.2,0.5,0.1
Piemans Diva,SUNDERLAND,Race 10,16:43,6,0.8,0.3,0.4,0.1
Newinn Conrad,HOVE,Race 10,16:48,6,0.8,0.1,0.5,0.2
Movinit,HOVE,Race 11,17:08,2,0.8,0.5,0.2,0.1
Cooly Woowoo,MONMORE,Race 13,17:37,4,0.8,0.4,0.2,0.2
Dingys Marley,TOWCESTER,Race 1,18:09,2,0.8,0.2,0.4,0.2
Tashade,SHEFFIELD,Owlerton Stadium Puppy 480,18:36,1,1.0,0.6,0.3,0.1
