dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Mr Jones,TOWCESTER,Race 6,09:34,1,0.8,0.0,0.5,0.3
Da Hurricane,TOWCESTER,Race 7,09:52,5,0.8,0.2,0.4,0.2
Wildcat Lilymay,TOWCESTER,Race 7,09:52,3,0.8,0.1,0.6,0.1
Headford Anna,HARLOW,Race 2,10:31,3,0.8,0.3,0.1,0.4
Bandit Millie,HOVE,Race 3,10:53,2,0.8,0.3,0.4,0.1
Lubagh Silver,HARLOW,Race 4,11:01,4,0.8,0.1,0.0,0.7
Wildfire Minnie,HARLOW,Race 4,11:01,2,0.8,0.4,0.1,0.3
Amazing Coco,HOVE,Race 4,11:09,6,0.8,0.2,0.2,0.4
Anns Lucie,SWINDON,Race 1,11:13,6,0.8,0.2,0.2,0.4
Christopper,KINSLEY,Race 2,11:21,1,0.8,0.2,0.3,0.3
Savana Treacle,HARLOW,Race 6,11:31,2,0.9,0.1,0.6,0.2
Overall,HARLOW,Race 6,11:31,1,1.0,0.4,0.1,0.5
Classic Tina,HARLOW,Race 7,11:46,3,0.8,0.2,0.3,0.3
A Hardy Act,KINSLEY,Race 4,11:51,6,0.8,0.2,0.1,0.5
Curious Sean,HARLOW,Race 8,12:01,2,0.8,0.5,0.1,0.2
Little Chief,HARLOW,Race 8,12:01,1,0.9,0.0,0.7,0.2
Burgess Dargle,HOVE,Race 8,12:09,1,0.9,0.0,0.4,0.5
Mustang Anita,SWINDON,Race 5,12:13,1,0.8,0.2,0.2,0.4
Prince Bobby,KINSLEY,Race 8,12:51,2,0.8,0.2,0.6,0.0
Beaming Elmer,KINSLEY,Race 8,12:51,6,0.8,0.2,0.2,0.4
Old Fort Katie,HOVE,Race 11,12:54,3,0.8,0.2,0.3,0.3
Bulmers Diamond,HARLOW,Race 12,13:02,3,1.0,0.4,0.2,0.4
Headford Spirit,HARLOW,Race 12,13:02,1,0.8,0.3,0.3,0.2
Domino Gem,HOVE,Race 13,13:24,6,0.8,0.2,0.2,0.4
Backup Dream,KINSLEY,Race 11,13:36,3,0.9,0.4,0.0,0.5
In The Present,CRAYFORD,Race 1,13:49,4,0.8,0.3,0.4,0.1
Meteoric Star,MONMORE,Race 1,13:57,3,0.8,0.2,0.4,0.2
Westforth Daisy,NEWCASTLE,Race 2,14:19,5,0.8,0.3,0.3,0.2
Final Lewis,MONMORE,Race 3,14:32,4,0.9,0.2,0.3,0.4
Feora Jessie,MONMORE,Race 3,14:32,6,0.8,0.4,0.2,0.2
Gartcloss Geordi,NEWCASTLE,Race 3,14:36,3,0.9,0.5,0.2,0.2
Gas Man,NEWCASTLE,Race 3,14:36,2,0.8,0.3,0.2,0.3
Share The Bloom,CRAYFORD,Race 4,14:42,2,0.8,0.2,0.3,0.3
Alban Auntie,CRAYFORD,Race 6,15:18,6,0.8,0.2,0.4,0.2
Colarhouse Foxy,CRAYFORD,Race 6,15:18,5,0.9,0.3,0.2,0.4
Nugget,CRAYFORD,Race 6,15:18,3,0.8,0.2,0.3,0.3
Wraysbury Sky,NEWCASTLE,Race 6,15:26,6,0.9,0.2,0.3,0.4
Alnwick Anna,NEWCASTLE,Race 6,15:26,3,0.8,0.3,0.2,0.3
Gator Park,NEWCASTLE,Race 7,15:44,1,0.8,0.0,0.5,0.3
Lisdalen Hawkeye,MONMORE,Race 7,15:48,4,0.8,0.3,0.1,0.4
Farloe Drogon,NEWCASTLE,Race 8,16:04,6,0.8,0.0,0.5,0.3
Dels Trigger,CRAYFORD,Race 9,16:18,6,0.8,0.2,0.2,0.4
Cha Cha Charlie,CRAYFORD,Race 9,16:18,2,0.8,0.1,0.3,0.4
Gartcloss Rum,NEWCASTLE,Race 9,16:23,5,0.9,0.2,0.1,0.6
Jaguar Ellie,MONMORE,Race 9,16:28,3,0.8,0.4,0.1,0.3
Revenant,MONMORE,Race 9,16:28,6,0.8,0.1,0.4,0.3
Dece Indigo,CRAYFORD,Race 10,16:38,4,0.8,0.3,0.2,0.3
Night Dream,CRAYFORD,Race 13,17:37,4,0.9,0.4,0.5,0.0
Gainstown Stunt,MONMORE,Race 13,17:44,3,0.9,0.2,0.5,0.2
Hot Summer,NOTTINGHAM,Race 1,18:19,2,0.9,0.3,0.3,0.3
Dunham Skippy,CENTRAL PARK,Race 3,18:48,1,0.8,0.1,0.6,0.1
Rowington Mist,NOTTINGHAM,Race 4,19:09,5,0.8,0.4,0.3,0.1
Lylotti Lex,ROMFORD,Coral Maiden - Heat 5,19:18,3,0.8,0.4,0.2,0.2
Foolish Rascal,CENTRAL PARK,Race 6,19:44,1,0.8,0.2,0.3,0.3
Blue Fidget,CENTRAL PARK,Race 6,19:44,5,0.8,0.4,0.4,0.0
Night Time Danny,ROMFORD,Coral Essex Vase - Heat 1,19:56,4,1.0,0.5,0.2,0.3
Bellagors Magic,CENTRAL PARK,Race 7,20:03,1,0.8,0.4,0.3,0.1
Ballyoak Wilma,CENTRAL PARK,Race 7,20:03,3,0.9,0.4,0.2,0.3
Shady Ella,SHEFFIELD,Race 3,20:08,2,0.8,0.3,0.3,0.2
Kilara Yeats,NOTTINGHAM,Race 8,20:12,1,0.8,0.4,0.2,0.2
Aayamza Dream,ROMFORD,Coral Essex Vase - Heat 2,20:17,2,0.8,0.4,0.4,0.0
Gymstar Elusive,ROMFORD,Coral Essex Vase - Heat 2,20:17,5,0.8,0.3,0.4,0.1
Slaneyside Babs,CORK,Race 7,20:29,2,0.8,0.4,0.2,0.2
Broadstrand Ryan,ROMFORD,Coral Essex Vase - Heat 3,20:38,1,0.8,0.4,0.4,0.0
Coolavanny Aunty,ROMFORD,Coral Essex Vase - Heat 3,20:38,4,0.8,0.7,0.1,0.0
Easy Diablo,SHEFFIELD,Race 5,20:42,5,0.8,0.0,0.7,0.1
Goldsmith Teddy,NOTTINGHAM,Race 10,20:46,4,0.8,0.2,0.1,0.5
Droopys Barry,ROMFORD,Coral Essex Vase - Heat 4,20:54,2,0.9,0.1,0.3,0.5
Ragtime Storm,ROMFORD,Coral Essex Vase - Heat 4,20:54,5,0.9,0.6,0.1,0.2
Rowington Joker,NOTTINGHAM,Race 11,21:01,6,0.8,0.1,0.2,0.5
Billis Starlet,NOTTINGHAM,Race 11,21:01,1,0.9,0.2,0.6,0.1
Ballydoyle Luigi,ROMFORD,Coral Essex Vase - Heat 5,21:12,2,0.8,0.2,0.5,0.1
Coolavanny Bani,ROMFORD,Coral Essex Vase - Heat 5,21:12,3,0.8,0.1,0.5,0.2
Warzone Tom,ROMFORD,Coral Essex Vase - Heat 5,21:12,4,0.8,0.8,0.0,0.0
Kilara Loch,NOTTINGHAM,Race 12,21:16,4,0.8,0.3,0.1,0.4
But Daddy,CENTRAL PARK,Race 11,21:18,6,0.8,0.2,0.5,0.1
Coconut Crash,CORK,Race 10,21:22,5,0.8,0.0,0.5,0.3
Satin Cora,CORK,Race 10,21:22,1,0.9,0.4,0.0,0.5
Antigua Princess,ROMFORD,Coral Essex Vase - Heat 6,21:28,4,0.8,0.2,0.3,0.3
Rockmount Dove,SHEFFIELD,Race 8,21:33,5,0.9,0.4,0.2,0.3
Glengar Daisy,ROMFORD,Foster A Greyhound Standard,21:42,4,0.8,0.5,0.0,0.3
