dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Waikiki Del,DONCASTER,Race 3,11:16,6,0.9,0.2,0.4,0.3
Cavan Export,SUNDERLAND,Race 2,11:21,5,0.8,0.2,0.1,0.5
Cloncunny Shell,DONCASTER,Race 4,11:31,2,0.9,0.1,0.2,0.6
Russanda Bondi,DONCASTER,Race 4,11:31,1,0.8,0.2,0.3,0.3
Morning Light,SUNDERLAND,Race 3,11:36,1,0.8,0.2,0.3,0.3
Minglers Mythryl,PELAW GRANGE,Race 1,11:43,4,0.9,0.1,0.3,0.5
Flew The Coop,DONCASTER,Race 5,11:46,5,0.8,0.3,0.3,0.2
Overall,HARLOW,Race 5,11:54,1,1.0,0.3,0.2,0.5
Matts Mink,SUNDERLAND,Race 5,12:06,2,0.8,0.2,0.3,0.3
Clasharinka,HARLOW,Race 6,12:09,1,0.8,0.0,0.1,0.7
Avelines Girl,SUNDERLAND,Race 6,12:21,1,0.8,0.2,0.3,0.3
Philfen Afina,HARLOW,Race 8,12:39,1,0.8,0.5,0.2,0.1
Breton Aline,HARLOW,Race 8,12:39,2,0.8,0.3,0.1,0.4
Annadown Diva,HARLOW,Race 8,12:39,6,0.8,0.3,0.3,0.2
Avongate Dmaggio,HARLOW,Race 9,12:54,6,0.8,0.2,0.2,0.4
Mustang Tyson,PELAW GRANGE,Race 6,12:58,2,0.8,0.2,0.4,0.2
Catunda Prince,SUNDERLAND,Race 9,13:06,4,0.8,0.2,0.3,0.3
Wow The Duchess,PELAW GRANGE,Race 7,13:13,5,0.9,0.4,0.1,0.4
Ballybrien Slick,SUNDERLAND,Race 10,13:21,1,0.9,0.0,0.3,0.6
Makemydaypunk,DONCASTER,Race 12,13:33,6,0.8,0.3,0.1,0.4
Future Shelby,SUNDERLAND,Race 11,13:36,2,0.8,0.4,0.3,0.1
Pickofthelitter,HARLOW,Race 12,13:39,6,0.8,0.2,0.2,0.4
Pakistan Falcon,SUNDERLAND,Race 12,13:51,2,0.9,0.0,0.7,0.2
Real Gent,KINSLEY,Race 1,14:04,6,0.8,0.1,0.2,0.5
Cloneen Alba,KINSLEY,Race 2,14:19,1,0.9,0.2,0.3,0.4
Callmesteve,TOWCESTER,Premarket Pets Blue Riband - Heat 1,14:52,5,0.8,0.4,0.2,0.2
Kaiser Kubrick,TOWCESTER,Premarket Pets Blue Riband - Heat 1,14:52,4,0.8,0.0,0.4,0.4
Signet Denver,TOWCESTER,Premarket Pets Blue Riband - Heat 1,14:52,1,0.8,0.5,0.1,0.2
Chelms Fred,TOWCESTER,Premarket Pets Blue Riband - Heat 1,14:52,3,0.8,0.4,0.2,0.2
Highview Planet,KINSLEY,Kinsley Stayers Hcp Heat 1,14:54,6,1.0,0.2,0.4,0.4
Lights Out,TOWCESTER,Premarket Pets Blue Riband -Heat 2,15:11,4,0.9,0.3,0.5,0.1
Kantoher Jack,TOWCESTER,Premarket Pets Blue Riband -Heat 2,15:11,1,0.8,0.5,0.3,0.0
Getwiththetimes,TOWCESTER,Premarket Pets Blue Riband -Heat 2,15:11,6,0.8,0.1,0.5,0.2
Dino Rex,KINSLEY,Kinsley Stayers Hcp Heat 2,15:26,4,0.9,0.2,0.3,0.4
Itillberate,KINSLEY,Kinsley Stayers Hcp Heat 2,15:26,6,0.8,0.4,0.2,0.2
Hazelhill Hare,TOWCESTER,Premarket Pets Blue Riband - Heat 3,15:28,4,0.9,0.4,0.3,0.2
Savana Scrappy,TOWCESTER,Premarket Pets Blue Riband - Heat 4,15:48,3,0.8,0.3,0.1,0.4
Highview Brand,KINSLEY,Kinsley Stayers Hcp Heat 3,16:04,4,0.9,0.2,0.4,0.3
Jet Stream Vic,TOWCESTER,Premarket Pets Blue Riband - Heat 5,16:08,4,0.8,0.3,0.2,0.3
Sleek By Design,TOWCESTER,Premarket Pets Blue Riband - Heat 6,16:28,1,0.9,0.1,0.3,0.5
Forest Gold,TOWCESTER,Premarket Pets Blue Riband - Heat 6,16:28,2,0.8,0.6,0.0,0.2
Perfecto Storm,TOWCESTER,Premarket Pets Blue Riband - Heat 6,16:28,3,0.8,0.7,0.1,0.0
Candy Man,TOWCESTER,Premarket Pets Blue Riband - Heat 7,16:48,6,0.8,0.2,0.3,0.3
Miss Judy,MULLINGAR,Race 7,16:57,4,0.8,0.1,0.4,0.3
Brookside Richie,TOWCESTER,Premarket Pets Blue Riband - Heat 8,17:08,1,0.9,0.8,0.1,0.0
Mallogs Stormzy,TOWCESTER,Premarket Pets Blue Riband - Heat 8,17:08,4,0.8,0.3,0.2,0.3
Gymstar Elusive,TOWCESTER,Premarket Pets Blue Riband - Heat 8,17:08,5,0.9,0.3,0.5,0.1
Sugarfield Lass,KINSLEY,Race 12,17:22,2,0.9,0.3,0.3,0.3
Milton Rio,TOWCESTER,Race 12,17:28,6,0.8,0.1,0.2,0.5
Killeshil Nico,MULLINGAR,Race 10,17:52,6,0.9,0.4,0.3,0.2
Forest Yuri,TOWCESTER,Race 14,18:02,1,0.8,0.3,0.3,0.2
Posh Playa,HENLOW,Race 1,18:17,3,0.8,0.4,0.3,0.1
Hazelwood Gun,CENTRAL PARK,Race 2,18:28,5,0.8,0.2,0.3,0.3
Courthouse Jim,SWINDON,Race 2,18:36,2,0.8,0.0,0.5,0.3
Lemon Vinnie,SWINDON,Blunsdon Sprint,18:51,6,0.9,0.6,0.2,0.1
Westwell Mustang,SWINDON,Blunsdon Sprint,18:51,1,0.8,0.3,0.4,0.1
Houston Main,SWINDON,Blunsdon Sprint,18:51,2,0.8,0.2,0.2,0.4
Akela,SWINDON,Blunsdon Sprint,18:51,3,0.8,0.3,0.3,0.2
Newinn Tik Tok,SWINDON,Blunsdon Sprint,18:51,5,0.8,0.1,0.5,0.2
Riverdale Pepe,CENTRAL PARK,Arc Maiden Trophy Heat 1,19:18,6,1.0,0.5,0.3,0.2
Goldies Perryman,SWINDON,Blunsdon 476m Winner Of One,19:41,5,0.8,0.2,0.5,0.1
Nightingale Lane,SWINDON,Blunsdon Standard,19:58,3,0.8,0.5,0.3,0.0
Thirteenblack,HENLOW,Race 7,20:03,5,0.9,0.2,0.4,0.3
Sunday At Agusta,SWINDON,Race 8,20:12,1,0.8,0.2,0.4,0.2
Ballyoak Wilma,CENTRAL PARK,Arc Sprint Trophy Final,20:17,2,0.8,0.3,0.2,0.3
Tintreach Redzer,CENTRAL PARK,Arc Sprint Trophy Final,20:17,3,0.9,0.3,0.3,0.3
Ragtime Billy,CENTRAL PARK,Arc Sprint Trophy Final,20:17,6,0.8,0.5,0.0,0.3
Droopys Flight,CENTRAL PARK,Arc Sprint Trophy Final,20:17,4,0.8,0.3,0.3,0.2
Bellini,SWINDON,Blunsdon Maiden Stayers,20:27,6,1.0,0.3,0.5,0.2
Ravenswell Rebel,SWINDON,Blunsdon Maiden Stayers,20:27,4,0.9,0.1,0.4,0.4
Sampson Rocket,SWINDON,Blunsdon Maiden Stayers,20:27,3,0.9,0.2,0.5,0.2
Da Madcat Queen,CENTRAL PARK,Race 9,20:38,2,0.8,0.4,0.2,0.2
Southfield Code,SWINDON,Blunsdon Stayers,20:46,6,0.9,0.3,0.4,0.2
Borna Bruno,CENTRAL PARK,Arc Standard Trophy Div,20:54,6,0.9,0.3,0.2,0.4
Dece Tyson,HENLOW,Race 10,21:02,3,0.8,0.3,0.5,0.0
Dashing Jo,CENTRAL PARK,Race 11,21:12,3,0.8,0.3,0.3,0.2
But Daddy,CENTRAL PARK,Race 11,21:12,6,0.8,0.1,0.6,0.1
Mustang Anita,SWINDON,Race 12,21:16,1,0.8,0.2,0.2,0.4
