dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Savana Cleo,HENLOW,Race 6,09:34,3,0.8,0.3,0.3,0.2
Lockdown Winston,HENLOW,Race 8,10:07,4,0.8,0.1,0.4,0.3
Bonniebluebullet,HENLOW,Race 9,10:23,2,0.8,0.2,0.3,0.3
Another Dove,PERRY BARR,Race 2,11:21,2,0.8,0.3,0.4,0.1
Dundrum Way,KINSLEY,Race 2,11:28,2,0.8,0.2,0.4,0.2
Down Load,CENTRAL PARK,Race 5,11:46,5,0.8,0.3,0.3,0.2
Kanturk Tom,CENTRAL PARK,Race 5,11:46,6,0.8,0.0,0.6,0.2
Sahara Wizard,PERRY BARR,Race 4,11:51,2,0.9,0.5,0.3,0.1
Security Legend,KINSLEY,Race 4,11:58,4,0.8,0.2,0.4,0.2
Kereight Sam,CENTRAL PARK,Race 6,12:01,4,0.8,0.2,0.3,0.3
Hillview Heidi,KINSLEY,Race 5,12:13,2,0.8,0.1,0.4,0.3
Shes Off Limits,KINSLEY,Race 5,12:13,1,0.8,0.3,0.4,0.1
Aero Squeak,ROMFORD,Race 7,12:24,6,1.0,0.2,0.5,0.3
Glengar Daisy,ROMFORD,Race 7,12:24,2,0.8,0.4,0.0,0.4
Elba Blossom,KINSLEY,Race 6,12:28,3,0.9,0.2,0.3,0.4
Havana Ebony,PERRY BARR,Race 7,12:36,2,0.8,0.3,0.5,0.0
Rosstemple Marko,PERRY BARR,Race 7,12:36,1,0.9,0.1,0.4,0.4
Sign Jessie,CENTRAL PARK,Race 9,12:46,5,0.8,0.2,0.4,0.2
Paradise Ally,PERRY BARR,Race 8,12:51,1,0.9,0.1,0.4,0.4
Velvet Bobby,CENTRAL PARK,Race 10,13:02,2,0.8,0.0,0.6,0.2
Cross Keys Itch,PERRY BARR,Race 9,13:06,1,0.8,0.2,0.2,0.4
Senahel Ross,ROMFORD,Race 10,13:09,2,0.8,0.4,0.3,0.1
Bulldogs Annie,KINSLEY,Race 9,13:13,3,0.8,0.2,0.5,0.1
Yarmouth Bound,CENTRAL PARK,Race 11,13:17,1,0.9,0.5,0.1,0.3
Run On Titan,CENTRAL PARK,Race 11,13:17,6,0.9,0.4,0.4,0.1
Power Customer,PERRY BARR,Race 12,13:51,6,0.8,0.4,0.0,0.4
Highview Parcel,KINSLEY,Race 12,13:59,3,0.8,0.2,0.2,0.4
Marys Majestic,MONMORE,Race 3,14:23,3,0.9,0.2,0.1,0.6
Spitting Fire,SUNDERLAND,Race 3,14:36,2,0.8,0.2,0.3,0.3
Droopys Intent,SUNDERLAND,Race 3,14:36,6,0.9,0.2,0.5,0.2
Find Out,SUNDERLAND,Race 3,14:36,3,1.0,0.4,0.4,0.2
Barneys Style,SUNDERLAND,Race 4,14:54,1,0.9,0.3,0.4,0.2
Escomb Wispa,SUNDERLAND,Race 5,15:09,3,0.9,0.4,0.3,0.2
Mainstreet Messi,SUNDERLAND,Race 9,16:23,1,0.8,0.1,0.5,0.2
Feora Jessie,MONMORE,Race 11,16:58,6,0.8,0.3,0.3,0.2
Noirs Marilyn,SUNDERLAND,Race 11,17:03,4,0.9,0.2,0.1,0.6
Candolim Caper,HOVE,Race 12,17:28,5,0.8,0.1,0.3,0.4
Fast Bowler,HOVE,Race 12,17:28,6,0.8,0.1,0.3,0.4
Roses Kate,HOVE,Race 13,17:44,2,0.9,0.3,0.5,0.1
Final Quattro,MONMORE,Race 14,17:54,6,0.8,0.1,0.3,0.4
Cooly Woowoo,MONMORE,Race 14,17:54,3,0.8,0.4,0.1,0.3
Lasair Breno,HOVE,Race 14,18:02,6,0.8,0.3,0.3,0.2
Swift Behold,NEWCASTLE,Race 1,18:26,3,0.8,0.5,0.2,0.1
Sandwood Buster,SHEFFIELD,Owlerton Stadium Standard,18:36,1,0.9,0.4,0.1,0.4
Dance Poppy,CRAYFORD,Race 3,18:48,1,0.8,0.2,0.3,0.3
Carrigmore Piper,SHEFFIELD,Race 3,18:51,3,0.9,0.2,0.2,0.5
Tuck Up Tom,TOWCESTER,Race 4,18:58,6,0.8,0.2,0.3,0.3
Castell Thriller,TOWCESTER,Race 4,18:58,5,0.8,0.3,0.1,0.4
Callaway Links,TRALEE,Race 2,19:12,6,0.9,0.2,0.4,0.3
Kelso Lassie,NEWCASTLE,Race 4,19:16,2,0.8,0.2,0.2,0.4
Jovial Dash,SHEFFIELD,Owlerton Stadium Sprint,19:26,5,0.8,0.2,0.2,0.4
Sandwood Jet,SHEFFIELD,Owlerton Stadium Sprint,19:26,2,1.0,0.6,0.3,0.1
Castlehill Jil,SHEFFIELD,Owlerton Stadium Sprint,19:26,6,0.8,0.6,0.2,0.0
Steeple Rd Clara,TRALEE,Race 3,19:28,1,0.9,0.2,0.4,0.3
Gulleen Enda,TRALEE,Race 4,19:42,1,1.0,0.3,0.4,0.3
Hoskys Legacy,CRAYFORD,Race 6,19:44,6,0.9,0.3,0.5,0.1
Cashen Maffeo,TRALEE,Race 5,19:54,3,0.8,0.2,0.3,0.3
Nah Then Norman,SHEFFIELD,Race 7,19:58,5,0.9,0.2,0.6,0.1
Highclere Coco,NEWCASTLE,Race 7,20:06,2,0.8,0.0,0.4,0.4
Rushmoor Rambo,TRALEE,Race 6,20:09,1,0.8,0.4,0.2,0.2
Bounard Han,TRALEE,Race 6,20:09,3,0.9,0.5,0.3,0.1
Whichwayseasy,SHEFFIELD,Race 8,20:12,5,0.9,0.3,0.4,0.2
Hi Oh Silver,SHEFFIELD,Race 8,20:12,1,0.9,0.2,0.4,0.3
Gymstar Bliss,CRAYFORD,Race 9,20:43,1,0.8,0.4,0.2,0.2
Easy Spirit,SHEFFIELD,Race 10,20:46,5,0.8,0.4,0.2,0.2
Away Bailey,SHEFFIELD,Race 10,20:46,1,0.8,0.3,0.2,0.3
Spice Age,SHEFFIELD,Owlerton Owners Bonus Handicap - Heat 1,21:01,5,0.8,0.4,0.3,0.1
Likely Roo,SHEFFIELD,Winner: £130,21:31,2,0.9,0.2,0.4,0.3
