dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Footfield Biddy,TOWCESTER,Race 2,08:27,1,0.9,0.3,0.3,0.3
Tivoli Tulip,HARLOW,Race 1,10:12,1,0.9,0.5,0.1,0.3
Seasons Myrtle,HOVE,Race 1,10:17,1,0.8,0.4,0.3,0.1
Salacres Mitchel,TOWCESTER,Race 9,10:23,4,0.8,0.0,0.1,0.7
Classic Tina,HARLOW,Race 2,10:31,3,0.8,0.2,0.3,0.3
Riada Spike,HARLOW,Race 4,11:01,1,0.8,0.1,0.6,0.1
Millroad Glory,HARLOW,Race 5,11:16,1,0.8,0.1,0.5,0.2
Outlier Boss,KINSLEY,Race 2,11:21,6,0.8,0.3,0.4,0.1
Grumpy Dave,KINSLEY,Race 3,11:36,3,0.8,0.4,0.3,0.1
Galaxy Freedom,HOVE,Race 7,11:54,6,0.9,0.4,0.2,0.3
Avongate Dmaggio,HARLOW,Race 8,12:01,6,0.8,0.2,0.1,0.5
Christopper,KINSLEY,Race 6,12:21,1,0.8,0.2,0.4,0.2
Burgess Dargle,HOVE,Race 9,12:24,1,0.8,0.0,0.3,0.5
Beaming Elmer,KINSLEY,Race 7,12:36,6,0.9,0.2,0.3,0.4
Pronto Jim,HARLOW,Race 11,12:46,2,0.8,0.3,0.2,0.3
Imahappylassie,HOVE,Race 11,12:54,4,0.8,0.4,0.1,0.3
Highview Parcel,KINSLEY,Race 9,13:06,5,0.9,0.2,0.2,0.5
Talldarkhandsome,KINSLEY,Race 10,13:21,5,0.8,0.2,0.2,0.4
Sparta Perfect,MONMORE,Race 1,13:24,2,0.8,0.1,0.3,0.4
Sawpit Smokey,SWINDON,Race 10,13:28,2,0.8,0.3,0.2,0.3
Punchestown Star,SWINDON,Race 10,13:28,6,0.8,0.3,0.4,0.1
Ravenswell Rebel,SWINDON,Race 10,13:28,3,0.9,0.1,0.4,0.4
Snooty Rose,MONMORE,Race 2,13:39,3,0.8,0.5,0.0,0.3
Catunda Sonic,MONMORE,Race 3,13:57,6,0.8,0.4,0.0,0.4
Ballymac Amiwill,SWINDON,Race 12,13:59,2,0.8,0.2,0.4,0.2
Oscars Rose,CRAYFORD,Race 4,14:07,4,0.9,0.3,0.2,0.4
Pink Flamingo,CRAYFORD,Race 6,14:42,2,0.8,0.2,0.1,0.5
Perfecto Vis,CRAYFORD,Race 6,14:42,6,0.9,0.3,0.3,0.3
Skywalker Cliff,CRAYFORD,Race 6,14:42,1,0.8,0.2,0.2,0.4
Hyde Park Conan,MONMORE,Race 6,14:52,3,0.8,0.3,0.2,0.3
South Georgia,NEWCASTLE,Race 4,14:54,6,0.8,0.2,0.1,0.5
Crossfield Chloe,CRAYFORD,Race 7,15:02,1,0.8,0.5,0.1,0.2
Optic Hecz,NEWCASTLE,Race 5,15:09,3,0.8,0.1,0.3,0.4
Swift Behold,NEWCASTLE,Race 7,15:44,3,0.9,0.4,0.4,0.1
Geordie Skye,NEWCASTLE,Race 7,15:44,4,0.8,0.1,0.3,0.4
Church St Lucky,MONMORE,Race 9,15:48,5,0.8,0.2,0.2,0.4
Amys Pinky,CRAYFORD,Race 10,15:58,3,0.8,0.3,0.1,0.4
Madabout Pearl,MONMORE,Race 10,16:08,5,0.8,0.3,0.0,0.5
Night Dream,CRAYFORD,Race 12,16:38,3,0.9,0.4,0.4,0.1
Quivers Maria,NEWCASTLE,Race 11,17:03,2,0.8,0.4,0.2,0.2
Ballymac Lusion,NEWCASTLE,Race 11,17:03,1,0.8,0.2,0.1,0.5
Coppice Belle,NEWCASTLE,Race 11,17:03,3,1.0,0.3,0.4,0.3
