dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Run On Titan,CENTRAL PARK,Race 1,10:46,6,0.8,0.4,0.3,0.1
Restless Lass,HENLOW,Race 1,10:53,2,0.8,0.3,0.2,0.3
Love,CENTRAL PARK,Race 2,11:01,6,1.0,0.6,0.3,0.1
Crevagh Fellow,SWINDON,Race 1,11:13,4,0.8,0.0,0.3,0.5
Courthouse Jim,SWINDON,Race 2,11:28,2,0.8,0.0,0.5,0.3
Creevy Gold,PERRY BARR,Race 3,11:36,1,0.8,0.1,0.3,0.4
Minnies Socki,PERRY BARR,Race 3,11:36,4,0.8,0.1,0.3,0.4
Bundee Paddy Aki,SWINDON,Race 3,11:43,4,0.8,0.5,0.2,0.1
Horseleap Snowie,CENTRAL PARK,Race 5,11:46,6,0.8,0.2,0.2,0.4
Distant Event,PERRY BARR,Race 4,11:51,5,0.8,0.4,0.2,0.2
Billy The Coss,SWINDON,Race 4,11:58,6,1.0,0.2,0.4,0.4
Fair Trend,PERRY BARR,Race 5,12:06,1,0.8,0.1,0.2,0.5
Intuition,HENLOW,Race 6,12:09,2,0.8,0.2,0.3,0.3
Velvet Bobby,CENTRAL PARK,Race 7,12:16,2,0.8,0.0,0.5,0.3
Churchtown Lad,PERRY BARR,Race 6,12:21,5,0.9,0.1,0.3,0.5
Blackrose Bjorn,HENLOW,Race 7,12:24,3,0.9,0.1,0.5,0.3
Akela,SWINDON,Race 6,12:28,3,0.9,0.5,0.2,0.2
Distant Bolt,CENTRAL PARK,Race 8,12:31,4,0.8,0.3,0.1,0.4
Headford Holly,PERRY BARR,Race 7,12:36,2,0.9,0.3,0.3,0.3
Borna Bruno,CENTRAL PARK,Race 9,12:46,5,0.9,0.4,0.2,0.3
Savana Wolf,HENLOW,Race 9,12:54,2,0.8,0.2,0.3,0.3
Barkin Mad Andy,HENLOW,Race 9,12:54,1,0.8,0.1,0.1,0.6
Nippys Spirit,HENLOW,Race 9,12:54,5,0.8,0.1,0.4,0.3
Noahs Brave,SWINDON,Race 8,12:58,1,0.8,0.4,0.3,0.1
Layton Legend,HENLOW,Race 10,13:09,5,1.0,0.3,0.5,0.2
Mustang Anita,SWINDON,Race 9,13:13,2,0.8,0.1,0.3,0.4
Its Dolly,CENTRAL PARK,Race 11,13:17,2,0.8,0.4,0.2,0.2
Romeo Black Op,HENLOW,Race 11,13:24,4,0.8,0.5,0.1,0.2
Archies Girl,SWINDON,Race 10,13:28,5,0.8,0.3,0.2,0.3
Letter Pat,CENTRAL PARK,Race 12,13:33,1,0.9,0.3,0.3,0.3
Liosgarbh Salah,HENLOW,Race 12,13:39,1,0.9,0.1,0.4,0.4
Moment Of Hope,SWINDON,Race 11,13:44,4,0.9,0.2,0.4,0.3
Rosstemple Marko,PERRY BARR,Race 12,13:51,1,0.8,0.2,0.3,0.3
Aero Squeak,ROMFORD,Race 1,13:57,6,0.9,0.3,0.3,0.3
Racecourse Court,SWINDON,Race 12,13:59,3,0.8,0.2,0.3,0.3
Droopys Tess,SHEFFIELD,Race 1,14:04,3,0.8,0.3,0.3,0.2
Final Quattro,MONMORE,Race 2,14:07,6,0.9,0.2,0.3,0.4
Final Lewis,MONMORE,Race 2,14:07,4,1.0,0.2,0.3,0.5
Panda Oreo,ROMFORD,Race 2,14:12,1,0.9,0.3,0.4,0.2
Slaneyside Jock,ROMFORD,Race 2,14:12,5,0.8,0.1,0.4,0.3
Avongate Kelly,ROMFORD,Race 2,14:12,3,1.0,0.5,0.3,0.2
Emilys Charm,MONMORE,Race 3,14:23,1,1.0,0.1,0.6,0.3
Jaguar Linda,MONMORE,Race 3,14:23,5,0.8,0.2,0.3,0.3
Xmas Jet,ROMFORD,Race 3,14:32,3,0.8,0.0,0.7,0.1
Minnies Orsk,SHEFFIELD,Race 5,15:09,4,0.8,0.5,0.2,0.1
Towstar Oreo,SHEFFIELD,Race 5,15:09,5,0.8,0.4,0.1,0.3
Tullymurry Amber,SHEFFIELD,Race 6,15:26,5,0.8,0.2,0.3,0.3
Nolas Whiskey,ROMFORD,Race 6,15:28,3,0.8,0.3,0.2,0.3
To Tone Kat,ROMFORD,Race 7,15:48,2,0.8,0.3,0.2,0.3
Trapstyle Brae,ROMFORD,Race 9,16:28,1,0.8,0.2,0.5,0.1
Slippy Molly,ROMFORD,Race 9,16:28,3,0.8,0.3,0.3,0.2
Bondi Bonnie,ROMFORD,Race 9,16:28,4,0.8,0.2,0.0,0.6
Swift Gherkin,MONMORE,Race 14,17:54,4,0.8,0.3,0.3,0.2
Incredible Vi,DONCASTER,Race 1,18:09,4,0.8,0.2,0.3,0.3
Honour Groucho,NOTTINGHAM,Race 1,18:26,1,0.8,0.4,0.3,0.1
