dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Rains Annabell,ENNISCORTHY,Race 10,19:48,1,0.8,0.3,0.4,0.1
Travelin Man,ENNISCORTHY,Race 10,19:48,3,0.8,0.4,0.2,0.2
Another Dove,PERRY BARR,Race 6,19:51,2,0.8,0.3,0.3,0.2
Crokers Billy,GALWAY,Wgoba Eric O Flaherty Top Tipster A3 550 Final,19:57,3,0.8,0.0,0.5,0.3
Breaghmore Rob,GALWAY,Wgoba Eric O Flaherty Top Tipster A3 550 Final,19:57,5,0.8,0.3,0.4,0.1
Onyergofreddie,MONMORE,Race 7,20:03,3,0.8,0.1,0.3,0.4
Sandy Willow,PERRY BARR,Race 7,20:06,5,0.8,0.2,0.3,0.3
Morning Light,SUNDERLAND,Race 8,20:12,1,0.9,0.2,0.3,0.4
Affane News,PERRY BARR,Race 8,20:21,1,0.9,0.6,0.2,0.1
Bower Turbo,PERRY BARR,Race 8,20:21,3,0.9,0.3,0.3,0.3
Anamcara,SUNDERLAND,Race 9,20:27,5,0.8,0.3,0.2,0.3
Sheriff,LIMERICK,Donal Scanlon Memorial A2 525 Final,20:29,1,0.9,0.4,0.1,0.4
Velcoro,PERRY BARR,Race 9,20:36,5,0.8,0.1,0.3,0.4
Bellagors Rebel,LIMERICK,Race 8,20:47,1,0.8,0.4,0.2,0.2
Spartadash,HOVE,Race 10,20:54,5,0.9,0.1,0.2,0.6
Noirs Marilyn,SUNDERLAND,Race 11,21:01,4,0.8,0.2,0.1,0.5
Moanteen Sweep,MONMORE,Race 10,21:02,2,0.8,0.4,0.4,0.0
Daves Gift,MONMORE,Race 10,21:02,3,0.9,0.5,0.4,0.0
Pakistan Falcon,SUNDERLAND,Race 12,21:16,2,0.8,0.1,0.5,0.2
Ratchies Amor,SUNDERLAND,Race 12,21:16,1,0.9,0.2,0.2,0.5
Tyrap Borris,LIMERICK,Race 10,21:22,2,0.8,0.3,0.3,0.2
Rollinontheriver,HOVE,Race 12,21:28,5,0.8,0.2,0.1,0.5
