dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Scarlet Beauty,DONCASTER,Race 1,10:12,2,0.8,0.5,0.2,0.1
Merrymeeting Dev,DONCASTER,Race 1,10:12,3,1.0,0.2,0.6,0.2
Ryecroft Cleo,DONCASTER,Race 2,10:31,2,0.9,0.3,0.4,0.2
Waikiki Del,DONCASTER,Race 2,10:31,6,0.8,0.3,0.3,0.2
Bringitonbuddy,DONCASTER,Race 3,10:46,3,0.9,0.2,0.4,0.3
Russanda Bondi,DONCASTER,Race 4,11:01,1,0.8,0.2,0.2,0.4
Turnthatphoneoff,YARMOUTH,Race 2,11:18,2,0.8,0.0,0.6,0.2
Bulmers Diamond,HARLOW,Race 5,11:24,3,0.8,0.2,0.2,0.4
Congress Sharon,HARLOW,Race 5,11:24,1,0.8,0.2,0.2,0.4
Strictly Jester,YARMOUTH,Race 3,11:35,6,0.8,0.3,0.2,0.3
Greenhall Fargo,HARLOW,Race 6,11:39,1,0.9,0.1,0.6,0.2
Ask The Audience,SHEFFIELD,Race 4,11:51,5,0.8,0.3,0.4,0.1
Hot Summer,NOTTINGHAM,Race 4,11:51,5,0.9,0.4,0.2,0.3
Lizzies Legend,NOTTINGHAM,Race 4,11:51,4,0.8,0.2,0.5,0.1
Geelo Delight,SHEFFIELD,Race 4,11:51,2,0.8,0.3,0.2,0.3
Ramors Jet,NOTTINGHAM,Race 5,12:06,1,0.8,0.5,0.2,0.1
Call Me Matt,PELAW GRANGE,Harry Rontree Memorial Sprint Trophy,12:13,3,0.8,0.2,0.4,0.2
Freffans Cain,NOTTINGHAM,Race 6,12:21,1,0.8,0.3,0.3,0.2
Kiluran Rastaman,HARLOW,Race 9,12:24,2,0.9,0.4,0.3,0.2
Free Inside,DONCASTER,Race 10,12:31,6,0.8,0.3,0.2,0.3
Ballymac Nephet,DONCASTER,Race 10,12:31,3,0.9,0.4,0.4,0.1
Overall,HARLOW,Race 10,12:39,1,0.9,0.3,0.1,0.5
Droopys Intent,PELAW GRANGE,Geordie Mcdonald Memorial Stayers Trophy,12:43,6,0.9,0.2,0.6,0.1
Mustang Tyson,PELAW GRANGE,Geordie Mcdonald Memorial Stayers Trophy,12:43,1,0.8,0.2,0.4,0.2
Gotoon Bella,YARMOUTH,Race 7,12:43,3,0.8,0.2,0.4,0.2
Optic Magic,DONCASTER,Race 11,12:46,2,0.8,0.4,0.2,0.2
Bull Run Breeze,DONCASTER,Race 11,12:46,6,0.8,0.4,0.3,0.1
Santro Bella,DONCASTER,Race 11,12:46,1,0.9,0.1,0.3,0.5
Seany Five O,NOTTINGHAM,Race 8,12:51,6,0.8,0.4,0.3,0.1
Whizzing Raven,NOTTINGHAM,Race 8,12:51,1,0.9,0.3,0.4,0.2
You See Charlie,HARLOW,Race 11,12:54,2,0.8,0.2,0.4,0.2
Corrin Shane,SHEFFIELD,Race 8,12:59,6,0.8,0.3,0.3,0.2
Take Off Libby,YARMOUTH,Race 8,13:00,6,0.9,0.2,0.3,0.4
Salems Soulmate,YARMOUTH,Race 8,13:00,1,0.9,0.2,0.3,0.4
Glenmore Phantom,NOTTINGHAM,Race 9,13:06,3,0.8,0.1,0.2,0.5
Burghead Hannah,NOTTINGHAM,Race 9,13:06,6,0.9,0.2,0.3,0.4
Watchameen,HARLOW,Race 12,13:09,5,0.8,0.3,0.1,0.4
Killotteran Tess,PELAW GRANGE,Race 7,13:13,4,0.9,0.2,0.3,0.4
Swift Chastity,SHEFFIELD,Race 9,13:16,4,0.8,0.5,0.0,0.3
Saving Hay,YARMOUTH,Race 9,13:17,1,0.8,0.1,0.3,0.4
Tubber Lane Rose,NOTTINGHAM,Race 10,13:21,6,0.8,0.1,0.4,0.3
Lagile Jackie,TOWCESTER,Trc Events And Leisure Boxing Day Maiden,13:33,4,0.8,0.3,0.3,0.2
Seomra Dancer,SHEFFIELD,Race 10,13:33,4,0.8,0.0,0.4,0.4
Bockos Newman,TOWCESTER,Trc Events And Leisure Boxing Day Maiden,13:33,2,0.8,0.1,0.3,0.4
Dominance,YARMOUTH,64th Yarmouth Championship - Grand Final,13:34,4,0.9,0.4,0.3,0.2
Drumdoit Bomber,YARMOUTH,64th Yarmouth Championship - Grand Final,13:34,1,0.8,0.5,0.1,0.2
Maxi Twister,YARMOUTH,64th Yarmouth Championship - Grand Final,13:34,3,0.8,0.3,0.3,0.2
Lisa Lou,HENLOW,Race 2,13:39,2,0.8,0.3,0.3,0.2
Marinas Artist,PELAW GRANGE,Mitchinson Family And Friends Open,13:44,5,0.8,0.5,0.2,0.1
Vank Big Vee,SHEFFIELD,Andy Peters Racing Christmas Cracker Final,13:50,3,0.8,0.3,0.3,0.2
Sandwood Buster,SHEFFIELD,Andy Peters Racing Christmas Cracker Final,13:50,1,0.8,0.3,0.1,0.4
Djokovic,NOTTINGHAM,Race 12,13:51,5,0.8,0.2,0.4,0.2
Ballymac Cici,DONCASTER,Race 15,13:54,4,0.8,0.3,0.3,0.2
Romantic Rachel,DONCASTER,Race 15,13:54,5,0.8,0.3,0.4,0.1
Bricks Trump,HENLOW,Race 3,13:57,1,0.8,0.3,0.2,0.3
Wow The Duchess,PELAW GRANGE,Race 10,13:59,5,0.8,0.4,0.1,0.3
Perfecto Storm,TOWCESTER,Trc Events And Leisure Boxing Day Standard,14:07,2,0.9,0.7,0.2,0.0
Gymstar Elusive,TOWCESTER,Trc Events And Leisure Boxing Day Standard,14:07,4,0.9,0.3,0.5,0.1
Gracias Lorenzo,YARMOUTH,Race 12,14:08,3,0.9,0.4,0.4,0.1
Astra Illusion,TOWCESTER,Trc Events And Leisure Boxing Day Stayers,14:23,1,0.8,0.2,0.3,0.3
Salacres Pippy,TOWCESTER,Trc Events And Leisure Boxing Day Stayers,14:23,2,0.9,0.6,0.3,0.0
Sharpys Genie,SHEFFIELD,Race 13,14:24,3,0.9,0.2,0.3,0.4
Sycamore Lady,SHEFFIELD,Race 13,14:24,4,1.0,0.1,0.3,0.6
Steel City Buck,SHEFFIELD,Race 13,14:24,6,0.8,0.1,0.6,0.1
Hi Oh Silver,SHEFFIELD,Race 14,14:41,2,1.0,0.2,0.4,0.4
Buy The Dip,HENLOW,Henlow Christmas Bonus A7 Final,14:52,1,0.8,0.1,0.5,0.2
Highview Brand,KINSLEY,Race 4,14:54,4,0.9,0.2,0.4,0.3
Shes Off Limits,KINSLEY,Race 4,14:54,1,0.8,0.3,0.4,0.1
Nah Then Norman,SHEFFIELD,Race 15,14:58,6,0.9,0.2,0.5,0.2
Milton Rio,TOWCESTER,Trc Events And Leisure Boxing Day Sprint.,15:02,5,0.9,0.1,0.2,0.6
Savana Antonio,TOWCESTER,Trc Events And Leisure Boxing Day Sprint.,15:02,2,0.9,0.5,0.3,0.1
Salacres Lee,TOWCESTER,Trc Events And Leisure Boxing Day Sprint.,15:02,3,0.9,0.4,0.5,0.0
Thirteenblack,HENLOW,Race 7,15:11,4,0.9,0.3,0.3,0.3
Yahoo Daniel,SHEFFIELD,Race 16,15:15,1,0.8,0.1,0.5,0.2
Sugarfield Lass,KINSLEY,Race 6,15:26,2,0.9,0.4,0.3,0.2
Orange Anderson,HENLOW,Henlow Christmas Bonus A2 Final,15:28,6,0.8,0.2,0.3,0.3
Glenvale Tony,HENLOW,Race 9,15:48,3,0.9,0.3,0.3,0.3
Layton Shrek,HENLOW,Race 9,15:48,2,0.9,0.4,0.5,0.0
The Grafter,HENLOW,Race 9,15:48,4,0.8,0.5,0.2,0.1
Romeo De Niro,TOWCESTER,Trc Events And Leisure Boxing Day Standard,15:58,1,0.8,0.6,0.0,0.2
Iron Brew,TOWCESTER,Trc Events And Leisure Boxing Day Standard,15:58,6,0.8,0.4,0.1,0.3
Noans First,HENLOW,Henlow Christmas Bonus A1 Final,16:08,3,0.8,0.4,0.4,0.0
Kantoher Jack,TOWCESTER,Trc Events And Leisure Boxing Day Standard,16:38,4,0.8,0.4,0.4,0.0
Getwiththetimes,TOWCESTER,Trc Events And Leisure Boxing Day Standard,16:38,6,0.8,0.1,0.5,0.2
Hello Paradise,KINSLEY,Race 12,17:22,4,0.8,0.2,0.4,0.2
