dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Scarlet Beauty,DONCASTER,Race 1,10:46,1,0.8,0.4,0.2,0.2
Waikiki Del,DONCASTER,Race 2,11:01,6,0.9,0.3,0.3,0.3
Bringitonbuddy,DONCASTER,Race 3,11:16,2,0.9,0.2,0.4,0.3
Congress Sharon,HARLOW,Race 3,11:24,2,0.8,0.2,0.2,0.4
Roos Tyga,HARLOW,Race 3,11:24,4,0.8,0.2,0.4,0.2
Crying Old Kevin,DONCASTER,Race 4,11:31,5,0.8,0.1,0.3,0.4
Russanda Bondi,DONCASTER,Race 4,11:31,1,0.8,0.2,0.3,0.3
Overall,HARLOW,Race 4,11:39,1,1.0,0.3,0.2,0.5
Crystal Lyla,SUNDERLAND,Race 4,11:51,6,0.8,0.2,0.2,0.4
Ballybrien Slick,SUNDERLAND,Race 4,11:51,2,0.8,0.0,0.2,0.6
Tarryburn Lucy,PELAW GRANGE,Race 2,11:58,3,0.8,0.1,0.7,0.0
Madabout Jade,SUNDERLAND,Race 5,12:06,1,0.9,0.5,0.3,0.1
Rafan One,SUNDERLAND,Race 5,12:06,2,0.8,0.4,0.2,0.2
Clasharinka,HARLOW,Race 6,12:09,1,0.9,0.1,0.1,0.7
Granada Flame,PELAW GRANGE,Race 3,12:13,2,0.9,0.2,0.5,0.2
Mountcashel Babs,DONCASTER,Race 7,12:16,6,0.9,0.4,0.3,0.2
Santro Bella,DONCASTER,Race 7,12:16,1,0.9,0.1,0.4,0.4
Little Chief,HARLOW,Race 7,12:24,2,0.8,0.0,0.6,0.2
Wanted Me Teddy,DONCASTER,Race 8,12:31,6,0.8,0.2,0.3,0.3
Pickofthelitter,HARLOW,Race 9,12:54,6,0.8,0.3,0.2,0.3
Mustang Tyson,PELAW GRANGE,Race 6,12:58,2,0.8,0.2,0.4,0.2
Marinas Artist,PELAW GRANGE,Race 6,12:58,4,0.9,0.6,0.2,0.1
Frainey Greaser,DONCASTER,Race 11,13:17,5,0.9,0.4,0.2,0.3
Ballymac Nephet,DONCASTER,Race 11,13:17,3,0.8,0.4,0.3,0.1
Mucho Macho Ezra,SUNDERLAND,Race 10,13:21,2,0.8,0.2,0.3,0.3
Droopys Intent,SUNDERLAND,Race 10,13:21,5,0.9,0.2,0.6,0.1
Annadown Diva,HARLOW,Race 11,13:24,6,0.8,0.4,0.2,0.2
Mise Conor,PELAW GRANGE,Race 8,13:28,1,0.8,0.4,0.3,0.1
Killotteran Tess,PELAW GRANGE,Race 9,13:44,4,0.9,0.2,0.3,0.4
Pakistan Falcon,SUNDERLAND,Race 12,13:51,2,0.9,0.1,0.6,0.2
Wow The Duchess,PELAW GRANGE,Race 10,13:59,5,0.8,0.3,0.1,0.4
Real Gent,KINSLEY,Race 1,14:04,6,0.9,0.2,0.2,0.5
Milton Rio,TOWCESTER,Race 3,14:32,5,0.8,0.1,0.1,0.6
Elba Blossom,KINSLEY,Race 4,14:54,1,0.8,0.2,0.3,0.3
Highview Brand,KINSLEY,Race 4,14:54,5,0.9,0.2,0.4,0.3
Itillberate,KINSLEY,Race 5,15:09,6,0.8,0.4,0.3,0.1
Wildcat Lilymay,TOWCESTER,Race 5,15:11,4,0.8,0.1,0.5,0.2
Betsys Maureen,KINSLEY,Race 11,17:03,1,0.8,0.2,0.4,0.2
Ay Up Brook,KINSLEY,Race 12,17:22,2,0.8,0.3,0.4,0.1
Highview Planet,KINSLEY,Race 12,17:22,1,1.0,0.2,0.4,0.4
Lingrawn Lola,MULLINGAR,Race 9,17:37,1,0.9,0.3,0.1,0.5
Moyar Rose,SWINDON,Race 1,18:19,2,0.8,0.2,0.1,0.5
Ragtime Billy,CENTRAL PARK,Arc Sprint Trophy Heat 1,18:28,6,0.8,0.6,0.0,0.2
Tintreach Redzer,CENTRAL PARK,Arc Sprint Trophy Heat 1,18:28,3,0.9,0.2,0.4,0.3
Deadly Doughnut,CENTRAL PARK,Arc Sprint Trophy Heat 1,18:28,1,0.9,0.5,0.3,0.1
Houston Main,SWINDON,Blunsdon Sprint,18:51,3,0.8,0.2,0.2,0.4
Westwell Mustang,SWINDON,Blunsdon Sprint,18:51,2,0.8,0.3,0.3,0.2
Akela,SWINDON,Blunsdon Sprint,18:51,4,0.9,0.4,0.3,0.2
Diegos Ty,CENTRAL PARK,Arc Sprint Trophy Heat 2,18:58,6,0.9,0.3,0.5,0.1
Ballyoak Wilma,CENTRAL PARK,Arc Sprint Trophy Heat 2,18:58,1,0.8,0.3,0.3,0.2
Layton Shrek,HENLOW,Race 4,19:07,2,0.9,0.4,0.5,0.0
Early Knight,HENLOW,Race 4,19:07,6,0.8,0.3,0.4,0.1
Glenvale Tony,HENLOW,Race 4,19:07,1,0.9,0.3,0.4,0.2
Sunset Places,SWINDON,Race 4,19:09,1,0.8,0.3,0.2,0.3
Punchestown Star,SWINDON,Blunsdon Maiden Standard,19:26,6,0.8,0.3,0.4,0.1
Mallogs Stormzy,CENTRAL PARK,Arc Standard Trophy Div,19:36,5,0.8,0.3,0.3,0.2
Westway Blake,SWINDON,Blunsdon Standard,19:58,2,0.8,0.4,0.2,0.2
Boca Junior,SWINDON,Blunsdon Standard,19:58,5,0.8,0.4,0.3,0.1
Flickering Flame,SWINDON,Race 8,20:12,2,0.8,0.2,0.2,0.4
Racecourse Court,SWINDON,Race 8,20:12,4,0.8,0.2,0.3,0.3
Borna Bruno,CENTRAL PARK,Arc Maiden Trophy,20:17,4,0.9,0.3,0.2,0.4
Ravenswell Rebel,SWINDON,Blunsdon Stayers,20:27,2,0.9,0.1,0.4,0.4
Bellini,SWINDON,Blunsdon Stayers,20:27,5,0.9,0.3,0.4,0.2
Sunday At Agusta,SWINDON,Race 10,20:46,2,0.8,0.3,0.4,0.1
Pilgrim Hill,CENTRAL PARK,Arc Standard Trophy Div,20:54,3,0.8,0.1,0.4,0.3
Leclair Noire,CENTRAL PARK,Arc Standard Trophy Div,20:54,5,0.9,0.3,0.4,0.2
Ashway Bubbles,SWINDON,Race 11,21:01,1,0.9,0.3,0.5,0.1
Thirteenblack,HENLOW,Race 11,21:18,5,1.0,0.3,0.4,0.3
But Daddy,CENTRAL PARK,Race 12,21:28,6,0.8,0.1,0.7,0.0
