dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Lockdown Winston,HENLOW,Race 1,08:12,5,0.8,0.1,0.4,0.3
Savana Cleo,HENLOW,Race 3,08:43,3,0.8,0.3,0.3,0.2
Dance Larry,HENLOW,Race 6,09:34,4,0.8,0.2,0.4,0.2
Yarmouth Bound,CENTRAL PARK,Race 3,11:16,1,0.9,0.4,0.1,0.4
Highview Parcel,KINSLEY,Race 2,11:28,4,0.8,0.2,0.3,0.3
Earls Magical,ROMFORD,Race 4,11:39,1,0.8,0.5,0.0,0.3
Fair Trend,PERRY BARR,Race 5,12:06,1,0.9,0.2,0.2,0.5
May Me Maa,KINSLEY,Race 5,12:13,5,0.8,0.1,0.3,0.4
Highview Matilda,KINSLEY,Race 5,12:13,1,0.8,0.1,0.3,0.4
Waikiki Glass,ROMFORD,Race 7,12:24,5,0.8,0.2,0.2,0.4
Security Legend,KINSLEY,Race 6,12:28,5,0.8,0.2,0.4,0.2
Tobergal Rock,KINSLEY,Race 7,12:43,4,0.8,0.2,0.4,0.2
Kanturk Tom,CENTRAL PARK,Race 9,12:46,6,0.8,0.1,0.5,0.2
Classic Salah,ROMFORD,Race 10,13:09,4,0.8,0.1,0.4,0.3
Quare Doll,PERRY BARR,Race 10,13:21,6,0.8,0.4,0.2,0.2
Cuile Line Kid,PERRY BARR,Race 10,13:21,1,1.0,0.1,0.5,0.4
Smileys Diamond,ROMFORD,Race 11,13:24,5,0.8,0.0,0.3,0.5
Hollyhill Duke,CENTRAL PARK,Race 12,13:33,5,0.8,0.3,0.1,0.4
Shes Off Limits,KINSLEY,Race 11,13:44,2,0.8,0.3,0.3,0.2
Sahara Wizard,PERRY BARR,Race 12,13:51,4,0.8,0.4,0.3,0.1
Find Out,SUNDERLAND,Race 1,14:04,4,0.9,0.4,0.3,0.2
Puckane Ascot,MONMORE,Race 3,14:23,4,0.8,0.2,0.3,0.3
Bloos Miss Daisy,MONMORE,Race 5,15:02,1,0.8,0.1,0.5,0.2
Bitter Fit Crack,HOVE,Race 5,15:11,3,0.8,0.1,0.6,0.1
Bloos Ally Belly,MONMORE,Race 8,15:58,2,0.8,0.0,0.4,0.4
Fast Bowler,HOVE,Race 8,16:08,5,0.8,0.1,0.3,0.4
Tiermana Hayes,SUNDERLAND,Race 9,16:23,5,0.8,0.6,0.1,0.1
Droopys Intent,SUNDERLAND,Race 9,16:23,6,0.9,0.2,0.6,0.1
Pakistan Falcon,SUNDERLAND,Race 10,16:43,1,0.9,0.0,0.8,0.1
Prozac Ted,SUNDERLAND,Race 10,16:43,4,0.8,0.4,0.2,0.2
Newinn Conrad,HOVE,Race 10,16:48,6,0.8,0.0,0.5,0.3
Moorstown Maria,MONMORE,Race 12,17:18,6,0.8,0.3,0.2,0.3
Jukebox Melody,SUNDERLAND,Race 12,17:22,2,0.8,0.3,0.2,0.3
Ballybrien Zee,SUNDERLAND,Race 12,17:22,6,0.8,0.1,0.2,0.5
Choctaw Razan,SUNDERLAND,Race 12,17:22,1,0.8,0.2,0.4,0.2
Marys Rocketman,HOVE,Race 12,17:28,1,0.9,0.2,0.4,0.3
Candolim Caper,HOVE,Race 13,17:44,6,0.8,0.2,0.3,0.3
Maglass Matt,HOVE,Race 13,17:44,3,0.8,0.4,0.2,0.2
Ellies Pet,CRAYFORD,Race 2,18:33,1,0.8,0.4,0.2,0.2
Emers Vinnie,NEWCASTLE,Race 2,18:41,5,0.8,0.4,0.2,0.2
Roxanne,TOWCESTER,Race 3,18:43,3,0.8,0.2,0.3,0.3
Westmead Mel,TOWCESTER,Race 3,18:43,1,0.8,0.3,0.3,0.2
Sandwood Buster,SHEFFIELD,Owlerton Stadium Standard Dup,18:51,1,0.9,0.4,0.2,0.3
Skywalker Stan,SHEFFIELD,Owlerton Stadium Standard Dup,18:51,4,0.9,0.6,0.3,0.0
Piercestown Mark,SHEFFIELD,Race 4,19:09,5,0.8,0.4,0.1,0.3
Phils Jet,TRALEE,Race 2,19:12,2,0.8,0.2,0.4,0.2
Swift Behold,NEWCASTLE,Race 4,19:16,3,0.8,0.5,0.2,0.1
Snowdon Doreen,CRAYFORD,Race 5,19:24,3,0.9,0.2,0.2,0.5
Sandwood Jet,SHEFFIELD,Owlerton Stadium Sprint Dup,19:26,1,1.0,0.6,0.3,0.1
Freedom Whiskey,SHEFFIELD,Owlerton Stadium Sprint Dup,19:26,5,0.8,0.4,0.3,0.1
Castlehill Jil,SHEFFIELD,Owlerton Stadium Sprint Dup,19:26,6,0.8,0.6,0.2,0.0
