dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Kit The Kicker,KILKENNY,Race 2,08:27,4,0.8,0.2,0.4,0.2
Radioactive Man,KILKENNY,Race 6,09:34,6,0.9,0.2,0.5,0.2
Ratchies Milo,KILKENNY,Race 7,09:52,1,0.9,0.3,0.2,0.4
Spoken For,HARLOW,Race 2,11:01,3,0.8,0.1,0.4,0.3
Corrin Nifty,NOTTINGHAM,Race 1,11:06,3,0.8,0.3,0.2,0.3
Towstar Peroni,NOTTINGHAM,Race 1,11:06,1,0.8,0.2,0.4,0.2
Blastoff Maud,CRAYFORD,Race 2,11:09,4,0.9,0.1,0.3,0.5
Farrahs Fantasy,NOTTINGHAM,Race 2,11:21,2,0.9,0.3,0.2,0.4
Tip Top Silver,CRAYFORD,Race 4,11:39,3,0.8,0.0,0.3,0.5
Tele Lad,NOTTINGHAM,Race 4,11:51,1,0.9,0.1,0.3,0.5
Tyford Brave,CRAYFORD,Race 5,11:54,6,0.8,0.2,0.3,0.3
Roll On Duke,CRAYFORD,Race 5,11:54,1,0.8,0.1,0.2,0.5
Snowdon Doreen,CRAYFORD,Race 6,12:09,3,0.9,0.2,0.3,0.4
Sanctury Maid,HARLOW,Race 7,12:16,5,0.8,0.6,0.1,0.1
Oakgrove Elise,HARLOW,Race 7,12:16,1,0.9,0.5,0.1,0.3
Whizzing Raven,NOTTINGHAM,Race 6,12:21,1,1.0,0.2,0.5,0.3
Caseys Gina,NOTTINGHAM,Race 6,12:21,4,0.8,0.3,0.1,0.4
Geneva Tee Jay,NOTTINGHAM,Race 6,12:21,6,0.9,0.2,0.2,0.5
Dians Jazzer,CRAYFORD,Race 8,12:39,6,0.8,0.2,0.3,0.3
Mohican Louis,SWINDON,Race 7,12:43,4,0.9,0.1,0.3,0.5
Ruffian Missy,CRAYFORD,Race 9,12:54,2,0.8,0.1,0.4,0.3
Kanturk Robin,CRAYFORD,Race 9,12:54,3,0.9,0.3,0.5,0.1
Congress Sharon,HARLOW,Race 10,13:02,1,0.8,0.2,0.3,0.3
Meridian Jen,CRAYFORD,Race 10,13:09,4,0.8,0.3,0.2,0.3
Bit View Adri,NOTTINGHAM,Race 10,13:21,6,0.8,0.2,0.5,0.1
Bundee Paddy Aki,SWINDON,Race 10,13:28,4,0.8,0.4,0.2,0.2
