dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Serene Dolly,DONCASTER,Race 1,10:46,1,1.0,0.3,0.5,0.2
Merrymeeting Dev,DONCASTER,Race 1,10:46,4,0.9,0.1,0.6,0.2
You See Charlie,HARLOW,Race 1,10:53,2,0.8,0.3,0.3,0.2
Waikiki Del,DONCASTER,Race 2,11:01,6,0.8,0.3,0.3,0.2
Ballymac Johnsie,DONCASTER,Race 3,11:16,5,0.8,0.4,0.0,0.4
Philfen Afina,HARLOW,Race 3,11:24,2,0.8,0.4,0.3,0.1
Free Inside,DONCASTER,Race 4,11:31,5,0.8,0.3,0.2,0.3
Crystal Lyla,SUNDERLAND,Race 3,11:36,6,0.8,0.2,0.2,0.4
Pretty Tess,SUNDERLAND,Race 3,11:36,1,0.8,0.2,0.3,0.3
Granada Flame,PELAW GRANGE,Race 1,11:43,2,0.8,0.2,0.5,0.1
Optic Magic,DONCASTER,Race 5,11:46,3,0.9,0.4,0.3,0.2
Santro Bella,DONCASTER,Race 5,11:46,1,0.8,0.1,0.2,0.5
Solid Wilson,SUNDERLAND,Race 4,11:51,3,0.8,0.4,0.1,0.3
Luttons Leyla,DONCASTER,Race 7,12:16,5,0.8,0.3,0.3,0.2
Rafan One,SUNDERLAND,Race 6,12:21,2,0.8,0.5,0.2,0.1
Ballydorgan Leo,SUNDERLAND,Race 6,12:21,4,0.8,0.5,0.2,0.1
Madabout Jade,SUNDERLAND,Race 6,12:21,1,0.9,0.6,0.2,0.1
Marinas Artist,PELAW GRANGE,Race 4,12:28,4,0.8,0.5,0.2,0.1
Brooklawn Gloss,SUNDERLAND,Race 7,12:36,3,0.9,0.2,0.5,0.2
Benwell Girl,HARLOW,Race 8,12:39,1,0.8,0.5,0.2,0.1
Annadown Diva,HARLOW,Race 8,12:39,6,0.8,0.5,0.1,0.2
Wow The Duchess,PELAW GRANGE,Race 6,12:58,5,0.8,0.3,0.2,0.3
Craan Maggie,DONCASTER,Race 12,13:33,6,0.9,0.2,0.3,0.4
Sleepy Panda,HARLOW,Race 12,13:39,1,0.8,0.1,0.3,0.4
Classic Tina,HARLOW,Race 12,13:39,2,0.8,0.2,0.3,0.3
Killotteran Tess,PELAW GRANGE,Race 9,13:44,3,0.9,0.1,0.3,0.5
Spitting Fire,SUNDERLAND,Race 12,13:51,2,0.9,0.2,0.4,0.3
Such A Dinger,PELAW GRANGE,Race 10,13:59,6,1.0,0.4,0.4,0.2
Dalton Opus,PELAW GRANGE,Race 10,13:59,5,0.8,0.3,0.2,0.3
Darbystown Ted,PELAW GRANGE,Race 10,13:59,2,0.8,0.2,0.2,0.4
Dundrum Way,KINSLEY,Race 1,14:04,2,0.9,0.2,0.3,0.4
Waikiki Max,KINSLEY,Race 4,14:54,4,0.9,0.5,0.3,0.1
Outlier Boss,KINSLEY,Race 5,15:09,6,0.8,0.3,0.4,0.1
Nutty Gem,TOWCESTER,Premarket Pets Blue Riband Trial Stakes,15:11,3,0.8,0.5,0.1,0.2
Romeo De Niro,TOWCESTER,Premarket Pets Blue Riband Trial Stakes,15:11,2,0.8,0.5,0.1,0.2
Lingrawn Lola,MULLINGAR,Race 2,15:18,1,0.9,0.3,0.1,0.5
Oneforthelake,TOWCESTER,Premarket Pets Blue Riband Trial Stakes,15:28,6,0.8,0.7,0.1,0.0
Gadhar Ar Mire,MULLINGAR,Race 3,15:37,3,0.8,0.3,0.2,0.3
Killeshil Nico,MULLINGAR,Race 3,15:37,6,0.9,0.4,0.2,0.3
Million Wink,TOWCESTER,Premarket Pets Blue Riband Trial Stakes,15:48,4,0.8,0.0,0.2,0.6
Jet Stream Vic,TOWCESTER,Premarket Pets Blue Riband Trial Stakes,15:48,5,0.9,0.3,0.3,0.3
Balterio,TOWCESTER,Premarket Pets Blue Riband Trial Stakes,15:48,6,0.8,0.2,0.2,0.4
Callmesteve,TOWCESTER,RPGtV ENGLISH PUPPY DERBY FINAL,16:08,1,0.8,0.4,0.1,0.3
Signet Denver,TOWCESTER,RPGtV ENGLISH PUPPY DERBY FINAL,16:08,4,0.9,0.5,0.1,0.3
Lanody Rosmur,KINSLEY,Race 10,16:43,6,0.8,0.2,0.4,0.2
Highview Parcel,KINSLEY,Race 10,16:43,5,0.9,0.2,0.2,0.5
Free Wheel,MULLINGAR,Race 7,16:57,5,0.8,0.3,0.1,0.4
Ay Up Brook,KINSLEY,Race 12,17:22,2,0.8,0.3,0.4,0.1
Highview Planet,KINSLEY,Race 12,17:22,1,1.0,0.3,0.4,0.3
Mildenberger,KINSLEY,Race 12,17:22,5,0.8,0.1,0.3,0.4
Mr Jones,TOWCESTER,Race 12,17:28,1,0.9,0.0,0.6,0.3
Forest Yuri,TOWCESTER,Race 13,17:44,1,0.8,0.3,0.4,0.1
Kilara Montjeu,TOWCESTER,Race 13,17:44,4,0.9,0.2,0.4,0.3
Iron Brew,TOWCESTER,Race 14,18:02,6,0.8,0.3,0.2,0.3
Hazelwood Gun,CENTRAL PARK,Race 1,18:09,5,0.8,0.1,0.3,0.4
Forest Lulu,SWINDON,Race 3,18:51,4,0.8,0.2,0.4,0.2
Romeo Black Op,HENLOW,Race 4,19:07,4,0.8,0.5,0.1,0.2
Akela,SWINDON,Race 4,19:09,4,0.9,0.4,0.3,0.2
Ragtime Storm,CENTRAL PARK,Arc Stayers,19:36,3,0.8,0.5,0.2,0.1
Hello Gabby,SWINDON,Race 6,19:41,1,0.8,0.1,0.5,0.2
Dundrum Frankie,SWINDON,Race 6,19:41,2,0.9,0.5,0.4,0.0
Punchestown Star,SWINDON,Race 6,19:41,4,0.8,0.3,0.3,0.2
Cloncunny Mike,HENLOW,Race 6,19:44,2,0.8,0.4,0.2,0.2
Foolish Rascal,CENTRAL PARK,Race 7,19:56,1,0.9,0.1,0.4,0.4
Chasing Turkey,CENTRAL PARK,Arc Hurdle,20:17,6,0.8,0.3,0.2,0.3
Smithy Elizabeth,HENLOW,Henlow Christmas Bonus A2 Heat 2,20:23,1,0.9,0.4,0.2,0.3
Noahs Brave,SWINDON,Race 9,20:27,2,0.8,0.4,0.3,0.1
Aherlow Blaze,CLONMEL,Race 6,20:33,5,0.9,0.3,0.3,0.3
Orange Anderson,HENLOW,Henlow Christmas Bonus A2 Heat 3,20:43,6,0.8,0.2,0.2,0.4
Nomansland Flyer,CENTRAL PARK,Arc Champion Hurdle Final,20:54,5,0.8,0.5,0.2,0.1
Lenson Doolin,CENTRAL PARK,Arc Champion Hurdle Final,20:54,4,0.8,0.4,0.3,0.1
Pyewacket,HENLOW,Race 10,21:02,2,0.8,0.1,0.4,0.3
Riverdale Pepe,CENTRAL PARK,Race 11,21:12,5,0.9,0.3,0.3,0.3
Letter Pat,CENTRAL PARK,Arc Standard,21:28,1,0.9,0.3,0.3,0.3
