dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Mr Jones,TOWCESTER,Race 7,09:52,1,1.0,0.0,0.6,0.4
Kiluran Rastaman,HARLOW,Race 1,10:12,1,0.9,0.3,0.4,0.2
Da Hurricane,TOWCESTER,Race 9,10:23,5,0.8,0.3,0.3,0.2
Mandingos Flyer,HOVE,Race 3,10:53,5,0.8,0.2,0.3,0.3
Insane Tyson,HOVE,Race 3,10:53,1,0.8,0.1,0.4,0.3
Mohican Chad,SWINDON,Race 1,11:13,6,0.8,0.3,0.3,0.2
Bulmers Diamond,HARLOW,Race 5,11:16,2,0.8,0.2,0.2,0.4
Christopper,KINSLEY,Race 2,11:21,1,0.8,0.2,0.3,0.3
Bundee Paddy Aki,SWINDON,Race 2,11:28,4,0.8,0.5,0.2,0.1
Wildfire Minnie,HARLOW,Race 6,11:31,1,0.8,0.3,0.2,0.3
Classic Tina,HARLOW,Race 6,11:31,3,0.8,0.2,0.3,0.3
Reagrove Spur,HARLOW,Race 8,12:01,3,0.9,0.1,0.2,0.6
Yassoo Patrick,HOVE,Race 8,12:09,1,0.8,0.2,0.5,0.1
Millroad Glory,HARLOW,Race 9,12:16,1,0.8,0.2,0.4,0.2
Crevagh Fellow,SWINDON,Race 6,12:28,4,0.8,0.1,0.3,0.4
Tobergal Rock,KINSLEY,Race 7,12:36,4,0.8,0.2,0.4,0.2
Highview Parcel,KINSLEY,Race 8,12:51,4,0.8,0.2,0.2,0.4
Talking Magpie,SWINDON,Race 8,12:58,4,0.9,0.2,0.5,0.2
Avongate Dmaggio,HARLOW,Race 12,13:02,6,0.8,0.2,0.1,0.5
Shes Off Limits,KINSLEY,Race 9,13:06,2,0.8,0.3,0.4,0.1
Luscious Lucy,HOVE,Race 12,13:09,3,0.8,0.2,0.3,0.3
Tay Mcginty,HOVE,Race 12,13:09,1,0.8,0.0,0.2,0.6
Beaming Elmer,KINSLEY,Race 10,13:21,6,0.9,0.2,0.3,0.4
Billy The Coss,SWINDON,Race 10,13:28,5,0.9,0.2,0.3,0.4
Bellinter Jet,KINSLEY,Race 11,13:36,3,0.8,0.4,0.1,0.3
Leamaneigh Mist,CRAYFORD,Race 3,13:49,5,0.8,0.2,0.4,0.2
Gartcloss Rum,NEWCASTLE,Race 1,14:04,5,0.8,0.1,0.1,0.6
Gainstown Stunt,MONMORE,Race 4,14:12,3,0.9,0.3,0.4,0.2
Swift Behold,NEWCASTLE,Race 3,14:36,3,0.9,0.5,0.3,0.1
South Georgia,NEWCASTLE,Race 3,14:36,6,0.8,0.2,0.2,0.4
Kilshannig Marie,CRAYFORD,Race 6,14:42,1,0.8,0.3,0.2,0.3
Mitchs Maverick,NEWCASTLE,Race 5,15:09,6,1.0,0.4,0.5,0.1
Madabout Pearl,MONMORE,Race 7,15:11,5,0.8,0.4,0.0,0.4
Bramble Orla,NEWCASTLE,Race 7,15:44,1,0.9,0.1,0.2,0.6
Emers Vinnie,NEWCASTLE,Race 7,15:44,5,0.9,0.5,0.4,0.0
Auchen Haggis,CRAYFORD,Race 11,16:18,1,0.8,0.2,0.5,0.1
Final Hannah,MONMORE,Race 11,16:28,3,0.9,0.4,0.3,0.2
Optic Hecz,NEWCASTLE,Race 11,17:03,4,0.8,0.1,0.3,0.4
Alnwick Ivy,NEWCASTLE,Race 12,17:22,4,0.8,0.1,0.4,0.3
