dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Ballygur Star,WATERFORD,Race 2,08:27,2,0.8,0.3,0.2,0.3
Kingsmill Sparta,WATERFORD,Race 3,08:43,4,0.8,0.5,0.0,0.3
Placid Pilgrim,WATERFORD,Race 4,09:02,6,0.8,0.4,0.1,0.3
Brynoffa Bob,WATERFORD,Race 4,09:02,5,1.0,0.6,0.2,0.2
Slaneyside Defoe,WATERFORD,Race 4,09:02,4,0.9,0.4,0.4,0.1
Whiteys Marathon,WATERFORD,Race 5,09:18,2,0.8,0.2,0.2,0.4
Coco Houdini,WATERFORD,Race 6,09:34,6,0.8,0.4,0.2,0.2
Glenbervie Elsa,WATERFORD,Race 7,09:52,2,0.9,0.1,0.5,0.3
Penniment Keen,NOTTINGHAM,Race 1,11:06,1,1.0,0.2,0.4,0.4
Tinksthebest,TOWCESTER,Race 3,11:24,3,0.9,0.4,0.4,0.1
Crinkill Captain,SHEFFIELD,Race 2,11:28,4,0.9,0.4,0.3,0.2
Away Bailey,SHEFFIELD,Race 2,11:28,2,0.9,0.4,0.2,0.3
Lizzies Legend,NOTTINGHAM,Race 4,11:51,2,0.8,0.2,0.5,0.1
Whats Up Jonjo,SHEFFIELD,Race 4,11:58,6,0.8,0.2,0.2,0.4
Makeit Beauty,TOWCESTER,Race 6,12:09,5,0.8,0.1,0.3,0.4
Chance Holly,CENTRAL PARK,Race 7,12:16,1,1.0,0.1,0.4,0.5
Sign Jessie,CENTRAL PARK,Race 7,12:16,5,0.8,0.3,0.3,0.2
Hot Summer,NOTTINGHAM,Race 6,12:21,5,0.9,0.4,0.3,0.2
Storys Hawk,TOWCESTER,Race 7,12:24,3,0.8,0.3,0.3,0.2
Battle Scared,NOTTINGHAM,Race 7,12:36,5,0.8,0.3,0.3,0.2
Whizzing Raven,NOTTINGHAM,Race 7,12:36,1,0.9,0.2,0.5,0.2
Dunham Skippy,CENTRAL PARK,Race 9,12:46,1,0.8,0.2,0.5,0.1
Summer Sateen,NOTTINGHAM,Race 8,12:51,1,0.8,0.1,0.4,0.3
Rockview Jack,SHEFFIELD,Race 8,12:58,3,0.9,0.1,0.2,0.6
Darbys Kitty,CENTRAL PARK,Race 10,13:02,4,0.9,0.4,0.0,0.5
Tell No Lies,SHEFFIELD,Race 9,13:13,4,0.8,0.3,0.2,0.3
Whichwayseasy,SHEFFIELD,Race 9,13:13,5,0.8,0.3,0.4,0.1
Yarmouth Bound,CENTRAL PARK,Race 11,13:17,1,0.8,0.4,0.1,0.3
Ardera Hector,TOWCESTER,Race 11,13:24,6,0.8,0.2,0.4,0.2
Aayamza Duke,SHEFFIELD,Race 10,13:28,5,0.8,0.3,0.3,0.2
Prickly Bay,TOWCESTER,Race 12,13:39,2,0.9,0.0,0.5,0.4
Pesky Florence,CRAYFORD,Race 1,13:49,3,0.8,0.4,0.4,0.0
Seany Five O,NOTTINGHAM,Race 12,13:51,6,0.8,0.3,0.3,0.2
View West,NEWCASTLE,Race 1,14:04,5,0.8,0.2,0.2,0.4
Waikiki Glass,ROMFORD,Race 2,14:12,5,0.8,0.3,0.1,0.4
Chosen Flame,NEWCASTLE,Race 2,14:19,6,0.8,0.3,0.2,0.3
Hitthelids Joe,CRAYFORD,Race 3,14:23,4,0.9,0.5,0.3,0.1
Comeragh Magpie,ROMFORD,Race 3,14:32,4,0.8,0.1,0.2,0.5
Nitro June,NEWCASTLE,Race 3,14:36,6,0.8,0.4,0.1,0.3
Absolute Dizzy,CRAYFORD,Race 4,14:42,5,0.8,0.5,0.2,0.1
Wilson,CRAYFORD,Race 4,14:42,6,0.8,0.3,0.4,0.1
In The Present,CRAYFORD,Race 5,15:02,5,0.8,0.2,0.5,0.1
Galloping Luna,CRAYFORD,Race 5,15:02,3,0.8,0.4,0.2,0.2
Ring Of Fire,NEWCASTLE,Race 8,16:04,2,0.8,0.1,0.1,0.6
Carrigoon Sting,ROMFORD,Race 8,16:08,1,0.8,0.3,0.2,0.3
Mohican Louis,SWINDON,Race 2,16:14,4,0.8,0.1,0.3,0.4
Ratheden Yevande,CRAYFORD,Race 9,16:18,6,0.8,0.2,0.4,0.2
Tyford Brave,CRAYFORD,Race 10,16:38,6,0.8,0.3,0.2,0.3
Glengar Daisy,ROMFORD,Race 10,16:48,3,0.8,0.4,0.0,0.4
Nine Of Spades,CRAYFORD,Race 11,16:58,2,0.8,0.4,0.2,0.2
