dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Kit The Kicker,KILKENNY,Race 2,08:27,4,0.8,0.2,0.4,0.2
Radioactive Man,KILKENNY,Race 6,09:34,6,0.9,0.2,0.5,0.2
Ratchies Milo,KILKENNY,Race 7,09:52,1,0.9,0.3,0.2,0.4
Ellies Pet,CRAYFORD,Race 2,11:09,1,0.8,0.2,0.4,0.2
Snowdon Doreen,CRAYFORD,Race 2,11:09,3,0.8,0.2,0.2,0.4
Icaals Mindy,CRAYFORD,Race 2,11:09,4,0.9,0.4,0.3,0.2
Ballyboss Sim,NOTTINGHAM,Race 2,11:21,1,0.8,0.2,0.1,0.5
Budgearnie,CRAYFORD,Race 3,11:24,3,0.8,0.4,0.2,0.2
Speed Up Maggie,NOTTINGHAM,Race 3,11:36,1,0.8,0.3,0.4,0.1
Watchameen,HARLOW,Race 5,11:46,5,0.8,0.4,0.2,0.2
Magik Mather,SWINDON,Race 4,11:58,3,0.8,0.7,0.0,0.1
Sawpit Smokey,SWINDON,Race 4,11:58,2,0.8,0.3,0.2,0.3
Dundrum Frankie,SWINDON,Race 4,11:58,1,0.8,0.4,0.3,0.1
Blastoff Maud,CRAYFORD,Race 6,12:09,4,1.0,0.1,0.4,0.5
Tubber Lane Rose,NOTTINGHAM,Race 6,12:21,4,0.8,0.1,0.5,0.2
Crevagh Fellow,SWINDON,Race 7,12:43,4,0.9,0.1,0.4,0.4
Roll On Duke,CRAYFORD,Race 9,12:54,1,0.8,0.1,0.2,0.5
Kanturk Robin,CRAYFORD,Race 9,12:54,3,0.9,0.4,0.5,0.0
Sleepy Panda,HARLOW,Race 10,13:02,1,0.8,0.2,0.3,0.3
Tele Lad,NOTTINGHAM,Race 9,13:06,1,0.8,0.1,0.2,0.5
Colarhouse Foxy,CRAYFORD,Race 10,13:09,4,0.9,0.3,0.3,0.3
Oakgrove Elise,HARLOW,Race 11,13:17,1,0.9,0.5,0.2,0.2
Tracys Crown,HARLOW,Race 11,13:17,2,0.8,0.1,0.4,0.3
Burghead Hannah,NOTTINGHAM,Race 10,13:21,6,0.9,0.2,0.4,0.3
Slippy Sophie,HARLOW,Race 12,13:33,5,0.8,0.4,0.2,0.2
Savana Treacle,HARLOW,Race 12,13:33,1,0.8,0.1,0.5,0.2
Bit View Adri,NOTTINGHAM,Race 11,13:36,6,0.8,0.1,0.5,0.2
