dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Da Hurricane,TOWCESTER,Race 6,09:34,6,0.8,0.3,0.3,0.2
Mr Jones,TOWCESTER,Race 7,09:52,1,0.9,0.0,0.6,0.3
Footfield Biddy,TOWCESTER,Race 10,10:41,1,0.8,0.2,0.4,0.2
Black Eyed Razl,HARLOW,Race 3,10:46,3,0.8,0.2,0.3,0.3
Little Chief,HARLOW,Race 3,10:46,1,0.8,0.0,0.6,0.2
Christopper,KINSLEY,Race 2,11:21,1,0.8,0.2,0.4,0.2
Brosna Pet,SWINDON,Race 2,11:28,3,0.8,0.3,0.3,0.2
Classic Tina,HARLOW,Race 6,11:31,3,0.8,0.2,0.3,0.3
Talldarkhandsome,KINSLEY,Race 3,11:36,5,0.8,0.3,0.2,0.3
Talking Magpie,SWINDON,Race 3,11:43,4,0.8,0.2,0.4,0.2
Edermine Abu,KINSLEY,Race 5,12:06,6,0.8,0.2,0.3,0.3
Moyar Rose,SWINDON,Race 5,12:13,3,0.8,0.3,0.0,0.5
Riada Spike,HARLOW,Race 10,12:31,1,0.8,0.1,0.5,0.2
Reagrove Spur,HARLOW,Race 11,12:46,3,0.9,0.2,0.2,0.5
Seasons Myrtle,HOVE,Race 11,12:54,1,0.8,0.4,0.3,0.1
Desert Crisis,SWINDON,Race 8,12:58,2,0.8,0.1,0.2,0.5
Congress Sharon,HARLOW,Race 12,13:02,2,0.9,0.2,0.3,0.4
Bulmers Diamond,HARLOW,Race 12,13:02,3,0.9,0.3,0.2,0.4
Hollywood Coco,HARLOW,Race 12,13:02,5,0.8,0.2,0.2,0.4
Tobergal Rock,KINSLEY,Race 9,13:06,4,0.8,0.3,0.3,0.2
Beaming Elmer,KINSLEY,Race 9,13:06,6,0.8,0.2,0.2,0.4
Tivoli Tulip,HARLOW,Race 13,13:17,1,0.9,0.5,0.1,0.3
Moment Of Hope,SWINDON,Race 12,13:59,4,0.9,0.2,0.4,0.3
Droopys Mateo,NEWCASTLE,Race 2,14:19,6,0.8,0.3,0.2,0.3
Highclere Zena,NEWCASTLE,Race 2,14:19,3,0.8,0.3,0.2,0.3
Cruz On Bolt,MONMORE,Race 4,14:52,1,0.8,0.2,0.2,0.4
Millabbey Laura,CRAYFORD,Race 5,15:02,5,0.8,0.2,0.4,0.2
Swift Behold,NEWCASTLE,Race 6,15:26,3,0.8,0.5,0.2,0.1
South Georgia,NEWCASTLE,Race 6,15:26,6,0.8,0.2,0.1,0.5
Little Venture,NEWCASTLE,Race 7,15:44,2,0.9,0.3,0.4,0.2
Little Seven,NEWCASTLE,Race 7,15:44,6,0.9,0.1,0.4,0.4
Gainstown Stunt,MONMORE,Race 7,15:48,3,0.9,0.2,0.5,0.2
Target Slick,NEWCASTLE,Race 10,16:43,2,0.8,0.3,0.3,0.2
Franco Dotty,CRAYFORD,Race 12,17:18,6,0.8,0.3,0.1,0.4
Wraysbury Sky,NEWCASTLE,Race 12,17:22,6,0.8,0.2,0.3,0.3
Rusheen Laser,ROMFORD,Race 1,18:09,3,0.8,0.3,0.5,0.0
To Tone Jack,ROMFORD,Race 1,18:09,2,0.8,0.2,0.2,0.4
Moes Dilemma,CENTRAL PARK,Race 1,18:17,2,0.8,0.3,0.3,0.2
Dunham Skippy,CENTRAL PARK,Race 1,18:17,1,0.9,0.2,0.6,0.1
Moyar Dawn,NOTTINGHAM,Race 2,18:36,6,0.8,0.5,0.1,0.2
One Day Robert,NOTTINGHAM,Race 2,18:36,3,0.8,0.3,0.2,0.3
Piercestown Gift,NOTTINGHAM,Race 2,18:36,5,0.9,0.4,0.3,0.2
Hot Summer,NOTTINGHAM,Race 3,18:51,5,0.9,0.4,0.3,0.2
Ragtime Storm,ROMFORD,Facebook @romforddogs Bitches Stayers,18:58,3,0.9,0.6,0.2,0.1
Waste House Izzy,ROMFORD,Facebook @romforddogs Bitches Stayers,18:58,5,0.9,0.3,0.1,0.5
Headford Clash,NOTTINGHAM,Race 4,19:09,6,0.8,0.3,0.3,0.2
