dogName,trackName,raceTitle,raceTime,trapNum,top3Last10Races,1stLast10Races,2ndLast10Races,3rdLast10Races
Rays Light,KILKENNY,Race 4,09:02,6,0.8,0.1,0.2,0.5
Radioactive Man,KILKENNY,Race 4,09:02,5,0.9,0.2,0.6,0.1
Kit The Kicker,KILKENNY,Race 6,09:34,6,0.9,0.2,0.4,0.3
Fennis Ollie,KILKENNY,Race 10,10:41,3,0.8,0.3,0.2,0.3
Bombai Bramble,HARLOW,Race 1,10:46,6,0.8,0.2,0.3,0.3
Kanturk Robin,CRAYFORD,Race 1,10:53,2,0.9,0.5,0.4,0.0
Caulry Daisy,NOTTINGHAM,Race 1,11:06,1,0.8,0.1,0.2,0.5
Nugget,CRAYFORD,Race 3,11:24,3,0.8,0.2,0.3,0.3
Ashway Bubbles,SWINDON,Race 2,11:28,2,0.8,0.3,0.4,0.1
Billis Starlet,NOTTINGHAM,Race 3,11:36,1,0.9,0.3,0.5,0.1
Sleepy Panda,HARLOW,Race 5,11:46,1,0.9,0.2,0.3,0.4
Allaghaun Rapid,SWINDON,Race 4,11:58,4,0.8,0.1,0.4,0.3
Oakgrove Elise,HARLOW,Race 6,12:01,1,1.0,0.5,0.2,0.3
Piercestown Gift,NOTTINGHAM,Race 5,12:06,5,0.8,0.3,0.3,0.2
Geneva Tee Jay,NOTTINGHAM,Race 5,12:06,6,0.8,0.2,0.3,0.3
Savana Treacle,HARLOW,Race 7,12:16,2,0.8,0.2,0.4,0.2
Pickofthelitter,HARLOW,Race 7,12:16,6,0.8,0.3,0.2,0.3
Desert Crisis,SWINDON,Race 6,12:28,1,0.9,0.2,0.2,0.5
Dotty Dot,NOTTINGHAM,Race 7,12:36,5,0.8,0.1,0.3,0.4
Dians Jazzer,CRAYFORD,Race 8,12:39,5,0.8,0.1,0.3,0.4
Dunaghy Lenson,HARLOW,Race 9,12:46,2,0.9,0.2,0.4,0.3
Ballybough Gary,NOTTINGHAM,Race 8,12:51,1,0.8,0.2,0.1,0.5
Farrahs Fantasy,NOTTINGHAM,Race 9,13:06,2,0.9,0.3,0.1,0.5
Too Many Men,CRAYFORD,Race 10,13:09,1,0.9,0.5,0.2,0.2
Kilara Yeats,NOTTINGHAM,Race 10,13:21,1,0.9,0.4,0.2,0.3
Ballymac Joe,CRAYFORD,Race 11,13:24,6,0.8,0.2,0.5,0.1
Havana Cabana,NOTTINGHAM,Race 11,13:36,6,0.8,0.1,0.3,0.4
Ballinulty Skip,SWINDON,Race 11,13:44,4,0.8,0.2,0.5,0.1
Brickfield Grace,SWINDON,Race 12,13:59,2,0.8,0.3,0.2,0.3
Gary For Gold,NEWCASTLE,Race 1,14:04,1,0.8,0.2,0.3,0.3
Westforth Sparky,NEWCASTLE,Race 1,14:04,2,0.8,0.2,0.2,0.4
Darcis Rio,MONMORE,Race 2,14:07,2,0.8,0.1,0.3,0.4
Westforth Daisy,NEWCASTLE,Race 2,14:19,3,0.8,0.3,0.3,0.2
Geordie Thomas,NEWCASTLE,Race 3,14:36,1,0.8,0.2,0.3,0.3
Onyergofreddie,MONMORE,Race 5,15:02,4,0.8,0.1,0.3,0.4
Watermill Salt,NEWCASTLE,Race 5,15:09,2,1.0,0.4,0.6,0.0
Rathronan Hero,MONMORE,Race 7,15:38,3,0.8,0.2,0.2,0.4
Styamra Duke,NEWCASTLE,Race 7,15:44,1,0.8,0.2,0.1,0.5
Noduff Bellagio,MONMORE,Race 9,16:18,5,0.8,0.2,0.2,0.4
Kaybee Blossom,MONMORE,Race 12,17:18,4,0.8,0.2,0.4,0.2
Moorstown Pat,MONMORE,Race 12,17:18,2,0.8,0.0,0.4,0.4
A Bit Of Beauty,NEWCASTLE,Race 12,17:22,2,0.9,0.3,0.5,0.1
Candolim Caper,HOVE,Race 13,17:44,5,0.8,0.1,0.3,0.4
Sporting Canary,HOVE,Race 14,18:02,4,0.8,0.3,0.2,0.3
Gemini Aria,HOVE,Race 14,18:02,1,0.9,0.1,0.5,0.3
Merrymeeting Dev,DONCASTER,Race 1,18:09,2,1.0,0.2,0.6,0.2
Breton Aline,HARLOW,Maiden Monkey Heat 1,18:48,2,0.9,0.4,0.1,0.4
Riverdale Uisce,HARLOW,Maiden Monkey Heat 1,18:48,5,0.8,0.4,0.3,0.1
Gracias Lorenzo,HARLOW,Maiden Monkey Heat 1,18:48,4,0.9,0.4,0.4,0.1
Mullaca Mayhem,SUNDERLAND,Race 3,18:51,1,0.8,0.1,0.4,0.3
Moors Sharkey,YARMOUTH,Race 4,19:16,3,0.8,0.1,0.4,0.3
Fern Alley,YARMOUTH,Race 4,19:16,6,0.9,0.3,0.3,0.3
Avelines Girl,SUNDERLAND,Race 5,19:26,1,0.8,0.3,0.3,0.2
Tiermana Hayes,SUNDERLAND,Race 5,19:26,5,0.8,0.6,0.1,0.1
Canvas Maud,YOUGHAL,Race 3,19:28,3,0.8,0.2,0.2,0.4
Trade Pippy,HARLOW,Race 6,19:44,1,0.8,0.1,0.4,0.3
Kidya Not,DONCASTER,Race 7,19:56,2,0.8,0.3,0.4,0.1
Jura Buu,YARMOUTH,Race 9,20:36,3,0.8,0.1,0.3,0.4
March On Henry,HARLOW,Standard,20:43,4,0.8,0.7,0.1,0.0
Benwell Girl,HARLOW,Standard,20:43,1,0.8,0.5,0.1,0.2
Derrinasafa Ryan,SUNDERLAND,Race 10,20:46,1,0.8,0.3,0.3,0.2
Sarou Sharon,YOUGHAL,Race 8,20:47,4,0.8,0.0,0.1,0.7
Heavens Willow,YARMOUTH,Race 10,20:52,6,0.8,0.1,0.4,0.3
Noirs Megan,SUNDERLAND,Race 11,21:01,1,0.8,0.2,0.3,0.3
Droopys Barry,HARLOW,Maiden Stayers Monkey,21:02,1,0.8,0.0,0.3,0.5
